issue_key	project	issue_type	summary	description	comments	design_prob	Label
JRASERVER-68689	JRASERVER	Suggestion	"""Extended Project Administrator permissions for advanced workflow options"""	"""""""Greetings.  We all appreciate the new abilities Atlassian developers have given our project administrators over the past couple of years, but a lot of our (full admins) time is spent in the areas of advanced workflow customization.  It would save us a lot of time if project administrators could associate and change transition screens as well as make changes to transition options, including Properties, Triggers, Conditions, Validators, and Post Functions."""""""	"""+1 – I always feel like I am dragging my Jira admin into work they really shouldn't be doing. Just to get a comment screen added to a workflow transition, for example."" [SEP] ""My instance of Jira has 600 projects, 10,000 users.  The idea of would be admins thinking they know what they are doing blowing up work, becuase they don't know what they are doing is mind bending and will create more work in the long run, first with trying to figure out what they blew up and the next in fixing it.  Each project has at least 3 admins, who all think they are wonderkids, they are not.  Having to edit 600 projects to either grant or not grant these admin permissions is crazy talk.  My full admins don't have time to train people, but that is what will eventually happen; everyone will want the full admins to review the work before it is implmented so now what are your admins doing? more busy work. "" [SEP] ""With the growing demand for Agile transformations (especially in California and Utah), it will become more commo"	0.9892674	
JRASERVER-68557	JRASERVER	Suggestion	"""Controll access to Rest API"""	"""""""h3. Task  I want to control which third party applications can access my Jira Server, both by white- or blacklisting. Thus only applications that are deemed trustworthy can access my Jira Server.      h3. How it could work  * An app must be signed by a valid vendor key and a valid key specific to this application to be able to access the Rest API.   * Jira admins can black or white list apps or a vendor (covering all apps of this vendor, existing and future).  * Access to Rest API is allowed only on basis of the black or white listings; or to all and everybody, if both are empty.    This would definitly be an infrastructure project, but it will appeal to corporations or organisations where more control over their system than usually is needed.    (!) This would be something worth considering across the whole product stack of Atlassian."""""""		0.9889621	
JRASERVER-71104	JRASERVER	Suggestion	"""Use Project Category to associate boards to projects"""	"""""""When a board is built it will not associate with a project it is pulling from when the query is using category the way it will with using the project field.    e.g.    team = 100 and project in (A, B, C)  – this filter can be used to build a board and will associate with each project.         team = 100 and category = D  – if the projects A, B, C have been added to the project category D and return the exact same results, this filter will NOT connect to the associated projects.     Being that category is associated with projects it should associate the boards with projects in the same manner.  In the first example I have to go to every board and update it if want to add a project to it and keep them associated.  With the second I merely have to update the project to the appropriate category."""""""	"""This is an excellent suggestion!    I second the motion; Project Category is the answer to so many scaling issues in Jira, and I wish it could be used in this way and in many other contexts (custom field config, permissions, built in reports, etc.)."""	0.9889197	
JRASERVER-69332	JRASERVER	Suggestion	"""Option to configure batching email notifications per user"""	"""""""In Jira server version 8.1.0, when you enable batching email notifications they are enabled across all projects and applied to all users.    Can this be made a user preference instead of a global setting."""""""	"""When we trialed batched notifications this was our biggest thing too because some users really like batch notifications and others detest them, it'd be useful to have it configurable per user."" [SEP] ""An absolute must - some users prefer batching, but some users require quick notifications (e.g. service desk agents).         Forcing a single setting to all users is never a good option especially for large instances with many different teams."""	0.9887488	
JRASERVER-70941	JRASERVER	Suggestion	"""Allow Extended Project Administrators to set resolution field on workflow transitions """	"""""""h3. Problem Definition    At this time, Extended Project Administrators are able to edit the workflow in use by a project by adding new statuses and transitions; however, they are unable to adjust the various properties of the statuses and transitions.    It'd be beneficial to allow Extended Project Administrators to designate specific transitions and statuses to set resolution values in, without necessarily having to grant permissions to modify post-functions.    h3. Suggested Solution     Implement a configuration for specific transitions to allow resolution fields to be set by Extended Project Administrators     """""""		0.98873794	
JRASERVER-69410	JRASERVER	Suggestion	"""Documentation note on the consistency of hostname being resolved in cluster"""	"""""""An inconsistency in how hostname of node's being resolved can cause disruption in cache replication, even though the {{cluster.properties}} have {{ehcache.listener.hostName}} being specified.     The [Installing Jira Data Center|https://confluence.atlassian.com/adminjiraserver/installing-jira-data-center-938846870.html] should be improved by adding a note to ensure that each node's hostname is correctly set, and that all hostnames in the cluster resolve consistently (to avoid problems in cache replication)."""""""		0.9887299	
JRASERVER-71496	JRASERVER	Suggestion	"""Provide statistics of stalled projects so they can be archived"""	"""""""Starting with Jira 7.10 project archiving is possible in Jira Data Center. However, currently, there are no statistics or metrics to help Jira and project administrators about projects which are not used for a significant period of time. As already described on [*Archiving a project*|https://confluence.atlassian.com/adminjiraserver/archiving-a-project-938847621.html], archiving unused projects help to improve the overall performance of the instance.    It would be nice if we could provide a high-level overview for administrators of projects which are candidates to be archived. This would remove the hassle of needing to go through workarounds or contacting each project lead to confirm further.    One possible workaround is to run a JQL such as the one below:        This would provide any issues on a specific project that was updated (comment added, edited, issue created) in the last 180 days. If you have no results, it means that there wasn't any, so it is likely that the project is no longer active.     If we implement this on the product's source code, we could query certain tables such as {{jiraissue}} and {{customfieldvalue}} which have timestamps, to help identifying a project which is a candidate for archiving."""""""		0.9887279	
JRASERVER-69536	JRASERVER	Suggestion	"""As an admin, allow for multiple database connection strings and to switch over when one fails."""	"""""""h3. Problem Definition    In our environment, we have a PostgreSQL DB hosted within a dedicated Enterprise Compose Cluster. This cluster provides two different portal access connection strings.    As dbconfig.xml only allows for one connection, when the link to the database goes down, Jira cannot change to the other database connection automatically.  h3. Suggested Solution    We would like for Jira to be able to detect and switch portals automatically if one connection string fails.    This functionality will dramatically enhance enterprise data center environments by providing a native high availability functionality when connected to hosted enterprise databases such as Compose PostgreSQL."""""""		0.98869985	
JRASERVER-69326	JRASERVER	Suggestion	"""When linking a Jira Project to a Confluence Space, there should be a quick option to sync the avatar between project and space"""	"""""""{panel:bgColor=#e7f4fa}    *NOTE:* This suggestion is for *JIRA Server*. Using *JIRA Cloud*? [See the corresponding suggestion|http://jira.atlassian.com/browse/JRACLOUD-72033].    {panel}    h3. Problem    When working in Jira, a project avatar is one common way that admins will customize to help users quickly sort through to identify what project they are working in. When you then have to switch applications to Confluence or alike, there is no means to automatically use the same custom avatar icon for that linked space. This can cause confusion or delays until users can be sure they are working in the correct space/project  h3. Suggested Solution    It would be awesome if when you link a Jira Project to a Confluence space, if Jira would prompt you to sync the avatar between these two. Granted, it would be understood that the user creating this link would need to have admin rights in both applications likely, and there might be a question of which avatar to use when initiating the sync. However to be able to do this automatically for admins would be really helpful in making it very clear to end users which content is linked to what other content.  h3. Note:    This suggestion does not seek to sync avatars of user objects.  Just that between spaces and projects."""""""		0.98869485	
JRASERVER-70954	JRASERVER	Suggestion	"""Creating a Kanban board that exists outside of a specific project."""	"""""""As a UX Designer, I use Jira to manage tasks across multiple projects. Some of the Jira boards are created and managed by PMs who assign cards to me, other Jira boards are managed by me.     I want to have BOTH Kanban boards for those specific projects and an over arching Kanban board that has all of my projects AND I want them all on one page so that I don't have to jump in and out of multiple tabs in order to manage each board.     A perfect example of this would be Favro. [https://www.favro.com/]. I'd highly suggest doing a competitive audit for user interactions and UI."""""""		0.9886847	
JRASERVER-69730	JRASERVER	Suggestion	"""Ability to Move Issues Between Federated Instances"""	"""""""As an administrator, I believe it would be very useful to be able to move issues between federated instances of Jira. This would add to the flexibility of federated instances and would allow users to have separate instances but still be able to collaborate easily when needed by moving work between teams who operate out of different instances."""""""		0.98865986	
JRASERVER-70315	JRASERVER	Suggestion	"""Remove thread dump from support zip"""	"""""""h4. *What is the problem*    Jira support zip includes three thread dump but they are not particularly useful due to the following reasons.   * *Lack of time accuracy* - thread dump is a moment in time snapshot of threads activity. To be useful, it must be captured precisely at the time of a problem or otherwise it can be misleading. The current implementation doesn't allow enough timing precision for troubleshooting a problem   * *Lack quantity control* - The quantity of the thread dump must be proportionate to the problem behavior. e.g., troubleshooting 15 second slowdown would require 5 thread dump taken with 2 second interval to give a clear picture of what happened during the 15 second slowdown.     h4. *Impact of this problem*    Administrator often think the thread dump included in the support zip are valid and rely on that to troubleshoot performance problem. This makes the Support team had to explain the difference between the thread dump captured by the support zip, and the manual thread dump generation   h4. *What to improve*    From the support standpoint, there is very little upside from having the current thread dump implementation, and it's probably raised more questions than answer.    Ideally we should improve the tool to address the above gaps, or otherwise remove it from the support zip (and rely on native thread dump tooling which is more accurate)          """""""	"""I move this request to the ATST board. https://ecosystem.atlassian.net/browse/ATST-992"" [SEP] ""https://ecosystem.atlassian.net/browse/ATST-992"""	0.988653	
JRASERVER-70250	JRASERVER	Suggestion	"""Support of skills and individual capacity in Portfolio for Jira v3"""	"""""""We are using Portfolio for the development of a whole project suite. In this case we need a global overview as well as the detailed view on team and sprint level.    We have crossfunctional teams and therefore we are using the skillsexcessivley in order to identify bottle necks and or over capacity. This goes hand in hand with the individual capacity.     We are using both functions in Portfolio v2 and would love to move to the improved interface of Portfolio v3, but because of these limitations we cannot migrate with losing a lot of our detailed planning and in the end the gloabl overview. """""""		0.9886331	
JRASERVER-68753	JRASERVER	Suggestion	"""Update Sizing Guide with message related to plugin"""	"""""""h3. Problem Definition    Currently, our official [Sizing Guide|https://confluence.atlassian.com/enterprise/jira-sizing-guide-461504623.html] does only include heap size suggestion based on general database statistic.     Some add-ons like Insight plugin requires additional heap memory and the vendor have their own documentation to provide a suggestion for recommended heap size:    * https://documentation.riada.io/insight/latest/system-requirements-29295574.html      h3. Suggested Solution    * Add a message in our [Sizing Guide|https://confluence.atlassian.com/enterprise/jira-sizing-guide-461504623.html] suggesting users to either contact the plugin vendor or have a look at the vendor documentation for recommended system requirement.    * We can also list the suggested system requirement for some popular plugin in the sizing guide page.    Eg:    Insight: [System Requirement|https://documentation.riada.io/insight/latest/system-requirements-29295574.html]      h3. Workaround     Refer to the vendor documentation for the recommended system requirement."""""""		0.9886097	
JRASERVER-70153	JRASERVER	Suggestion	"""Manage sessions within Jira DC"""	"""""""*Issue:* Implementation of a Jira DC cluster requires a load balancer to store a persistence record of a users session so requests with the users session ID are routed to the specific Jira DC node where that session is present. In turn, an administrator is obliged to maintain this configuration on the load balancer as part of their Jira DC implementation. This is undesirable as it has both an implementation and operational overhead in addition to users being logged out if a node fails or is taken offline for maintenance.    *Goal:* Session ID's are shared between Jira DC nodes eliminating the need for persistence records on a load balancer and in turn allow any http request to be served from any Jira DC node.    *Benefits:*    Reduction of Jira DC implementation complexity.    Jira DC nodes can fail or be disabled without users loosing their sessions.    Enhanced HA."""""""		0.9885606	
JRASERVER-70950	JRASERVER	Suggestion	"""Parameterize the amount of Threads for web hook processing"""	"""""""h3. The scenario    Currently (as of Jira 7.13.13 and 8.8.0), Jira only works with a Thread pool of 3 Threads for webhook processing:    The [source code|https://bitbucket.org/atlassian/atlassian-webhooks-plugin/src/atlassian-webhooks-3.3.0/plugin/src/main/java/com/atlassian/webhooks/plugin/WebHookPublisherImpl.java]'s hardcoded with a 3 Thread pool size.  h3. The ask    We ask that web hooks Thread pool size be parameterize in _some way_, through jira-config.properties, for example. Default could remain 3.  h3. Related issue    If we have [JRASERVER-39361|https://jira.atlassian.com/browse/JRASERVER-39361] implemented with [logs around each webhook processing|https://jira.atlassian.com/browse/JRASERVER-39361?focusedCommentId=2397852&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-2397852], we could assertively determine if the Thread pool for web hooks should be increased or not.         Cheers"""""""		0.9885133	
JRASERVER-69283	JRASERVER	Suggestion	"""As a System Admin, I would like to export specific project configurations"""	"""""""As a System Admin that handles staging and production instances, it would be beneficial to export *certain* project configurations from one instance to the other, without also exporting issues or an entire project. This way a roadmap of functionalities can be planned and developed in parallel, changes could be deployed as they become necessary."""""""		0.98849815	
JRASERVER-70171	JRASERVER	Suggestion	"""Add an option to the Jira Core Mail Handler to create new users without using a license, when linked to a Service Desk project"""	"""""""h3. Issue    When a Jira Core Mail handler (configured in ⚙ > System > Incoming Mail) is setup with a Service Desk Project and with the """"""""Create users"""""""" option enabled, the creation of new users from email will fail if no default application access it set in the Jira instance.    The following error will be thrown in the Jira Incoming Mail Logs:      The behavior is intended by default, since the Jira Core Mail Handler is not designed to be used with a Service Desk project, as it expects users to have application access to create emails (but Service Desk customers are by design users without application access).    Due to the fact that the Jira Core Mail Handler contains more configuration and features than the Service Desk Mail Handler (configured in *Project Settings > Email Requests*), some customers prefer to use the Jira Core Mail Handler rather than the Service Desk Mail Handler.    h3. Suggestion    Add some configuration to the Jira Core Mail Handler to allow the creation of customer-type users (users without application access), when it's configured with a Service Desk project and when no default application access is configured."""""""		0.9884248	
JRASERVER-70020	JRASERVER	Suggestion	"""Option to manage email batching per project"""	"""""""It is cruicial for for Jira Service Desk projects or Core/Software projects with a JSD-like model to send notifications immediatelly vs batching. The good example is when customer replies to JSD ticket and support engineer receives the update with several minutes delay (plus email routing/delivery time overhead). This may be not acceptable for high priority tickets and at the moment forced us to disable notifications batching.    We would like to see the ability to enable this feature per project or at least for the beginning per project type. Not sure if this is easier or more userful than per-user (JRASERVER-69332), but it certainly can improve JSD communications with customers."""""""		0.98837835	
JRASERVER-71143	JRASERVER	Suggestion	"""Allow Comments to be included in JQL output"""	"""""""We have users that would like to filter/report on tickets and include the last 'x' public comments.  These views would then be used in discussions with external customers regarding their tickets."""""""	"""I regularly receive requests for this sort of functionality. It would be a godsend to have a way to enable this besides yet another scripted custom field (which will have to be maintained through every Jira upgrade, in perpetuity).    I believe this improvement would strongly enhance teams' organizational connectivity and ability to collaborate other teams.   # Scenario one:   ## Team A wants to collect feedback | has a kudos project for teams or individuals, and wants input from outside their team.   ## Each feedback item | kudo is a Jira issue.    ## They want to display the currently active issues on a Confluence page where everyone can see this activity.    ## They want to be able to display the most recent comment on each issue, as a way to inform others and to encourage participation.   # Scenario two:   ## Team A supports Teams B and C, e.g. for deployments, license agreements, or customer configuration activities.   ## Team A also does other work, so not all tickets relate to external team requests. "	0.98835456	
JRASERVER-71660	JRASERVER	Suggestion	"""The structure of lists makes it difficult for blind users to capture content efficiently."""	"""""""List elements are used to structure content, for example in a list. Their identification offers blind users an additional indication of the structure of the page and offers additional navigation options. In this way, blind users can navigate specifically to the lists on a page or across them. In the application, however, there are some problems related to lists:   ▪ Lists are not used consistently. Much of the content is implemented using list elements. However, not all visually related content is contained in one list, but two or more lists are used for structuring. This makes orientation and navigation more difficult for blind users    ▪ Many lists consist of only one list element, which in turn contains definition lists. This means that the structure is difficult to see for blind users .    ▪ The problem arises here that the definition lists again consist of only one entry, so the screen reader output a lot of additional content when navigating linearly, since one list is always left and a new one is reached . This problem also occurs, for example, in the user settings.    ▪ Individual operating elements that belong together are not implemented as a list, for example the operating elements for editing an issue. Blind users cannot perceive this grouping.   Note: The problems described here occur on all pages of the application and should also be addressed for all pages.   ▪ The entries in the """"""""Activity"""""""" area and the pagination of content are not implemented as lists . """""""		0.9882832	
JRASERVER-70965	JRASERVER	Suggestion	"""As a Jira admin, I want to be able to control the notifications mobile app users receive"""	"""""""h3. Problem Definition  In the Jira Server mobile app (IOS and Android), the mobile app has its own settings in terms of the event based notifications that end users receive.  These are separate from the project notifications schemes that are defined by a project administrator within Jira Server and Data Center editions.    h3. Suggested Solution  Have the mobile app honor the project notifications settings  OR  Provide some mechanism that allows Jira administrators to control the notifications that mobile app users receive about Jira.    h3. Why this is important  Several good reasons to do this:  # Mobile users will tend to get more and unexpected notifications than typically expected, and perhaps they do not realize they can control these from within the app itself  # Consistent messaging experience between platforms  # Administrators are expected to have control and manage what their end users see      h3. Workaround   Currently mobile app users will have to manually adjust their own notifications levels from within the mobile app."""""""		0.98827565	
JRASERVER-70571	JRASERVER	Suggestion	"""The kanban board sub-filter experience could be better"""	"""""""I'm using Kanban on a project with multiple deliverables. We don't use versions for anything. Our team's issues collected in the """"""""done"""""""" column forever. The team thought this was weird, since if they're """"""""done"""""""", why aren't they disappearing?    The kanban board sub-filter is the answer. The default behaviour for kanban is to show issues with no `fixVersion`. Since we don't use those, they'll collect there forever.    (Aside: what would it mean to """"""""release"""""""" a project with no versions? Does that make sense?)    The other weird thing about the filter is its mental model. The correct model: things that match the query will be *visible* on the board; everything else will be *hidden* after a period of time. The problem with this, however, is the context in which the filter is changed. If you're like my team, you're going to change it when your """"""""done"""""""" column gets heavy... which means you're going there to *hide* issues, not *show* them. As a result the query can seem a bit nonsensical at first -- I accidentally made everything show up as """"""""done"""""""" the first time.    I think one of two things could be done here:    * the description of the kanban sub-filter could be updated to more clearly state that it makes issues visible, and anything that *doesn't* match it will get hidden.  * the field's purpose could be inverted; it would be about selecting issues that are """"""""done"""""""". This shift can drastically simplify the mental model for end-users (no double-negatives to think about; you're selecting a discrete set intersection, rather than defining two sets and taking the difference)."""""""		0.98815	
JRASERVER-69383	JRASERVER	Suggestion	"""Ability to Filter Out What will be Displayed in the Development Panel"""	"""""""h3. Definition/Use Case  It would be great if we can exclude failing Bamboo plans from issue development panels. But to be more precise, we only need this for a few specific Bamboo plans. We create and test Bamboo jobs in a separate experimental plan und during this process, the corresponding builds may fail a lot (which is OK). However, since these builds also use our main source repositories (and their branches), the failing experimental plan is shown as a link in Jira issues. Furthermore, such failed builds lead also to warnings for releases that include the corresponding Jira issues.    h3. Suggestion  To have an option to configure what data will be displayed in the issue development panel.    """""""		0.98815	
JRASERVER-69407	JRASERVER	Suggestion	"""add workflow property which persists over all transitions"""	"""""""For some workflow implementation and customer requirements it would be good to implement the possibility of adding a global property to the entire workflow, which persists all over transitions.    For instance, I could add jira.permission.comment.projectrole to disable comments whilst in a transition but customer suggestion is to add the possibility to apply it to the entire workflow so that it can persist over all transitions.    Another possibility suggested by the customer would be to add the property directly in the transition, so that the transition could be used to allow/disallow comments.    As per customer comment:         """""""	"""Just to provide some background to this issue as I don't think the description describes the requirement that clearly.    We raise literally hundreds of incidents a day.  Some will be as straight forward as """"I can't login"""" or """"network in office xyz is flaky"""".  But a few are a lot more serious, such as """"Outlook is down"""".  In all cases those working on the incident communicate updates by commenting on the issue, developing a thread of tests and changes as they go along.    The problem is that users also like to chime in with their comments, a common refrain is """"I have this issue too"""".  In the case of an Outlook outage this can (and has) result in hundreds of comments that simply hide the important comments.  What would be useful is the ability to limit comments to the technicians for the duration of the investigation.    At this point I expect people to chime in and say, """"but Jira already has this"""", so let me explain more.  Yes, Jira does already have this (the ability to upload an attachment w"	0.9881253	
JRASERVER-70170	JRASERVER	Suggestion	"""Add an option to the Jira Core Mail Handler to create new users without using a license, when linked to a Service Desk project"""	"""""""*Issue*    When a Jira Core Mail handler (configured in ⚙ > System > Incoming Mail) is setup with a Service Desk Project and with the """"""""Create users"""""""" option, the creation of new users from email will fail if no default application access it set in the Jira instance.    The following error will be thrown in the Jira Incoming Mail Logs:      The behavior is intended by default, since the Jira Core Mail Handler is not designed to be used with a Service Desk project, as it expects users to have application access to create emails (but Service Desk customers are by design users without application access).    Due to the fact that the Jira Core Mail Handler contains more configuration and features than the Service Desk Mail Handler (configured in *Project Settings > Email Requests*), some customers prefer to use the Jira Core Mail Handler rather than the Service Desk Mail Handler.    *Suggestion*    Add some configuration to the Jira Core Mail Handler to allow the creation of customer-type users (users without application access), when it's configured with a Service Desk project."""""""		0.98801464	
JRASERVER-70638	JRASERVER	Suggestion	"""Archiving sub-task issue type"""	"""""""*Summary*     Currently Jira does not allow archiving sub-task issue type independently. Archiving sub-task can only be done by archiving its parent task which will archive *ALL* associated sub-tasks. The behaviour also not consistent with delete operation whereas user can delete inidividual sub-task (without its parent).     *Ask*     Allow archiving individual sub-task without its parent.           """""""	"""business justification  from [https://getsupport.atlassian.com/browse/PS-53775]    """"Business justification for this is as follows:  Delete is like no go back but archival is considered as a recycling bin like a confluence trash to restore and which also improves performance as part of maintaining our instance we want to archive issues using archival rest call and archive anything which is older than 2 years to keep our instance clean and perform well in terms of indexing. Delete is considered little bit dangerous as you cannot restore the issue . So, Archival is what is driving this use case but we have seen that most of the users create sub-tasks as mistake which they want to remove or delete and it dosen't make sense as delete works with sub-task but not archive ? This is our use case and we want archive to work for sub-tasks."""""""	0.98791635	
JRASERVER-69329	JRASERVER	Suggestion	"""Add a setting which will allow users to see empty Sprints in any board"""	"""""""h3. Problem Definition    For a sprint created in Board A to be visible in another Board B, there needs to be at least one issue in the sprint which respects the filter configured in Board B.    If the sprint is empty, it will only show in the Board where it was created, but not the other boards.    This behavior can be an issue when there are a lot of teams and a lot of stories and teams need to work on their own board. It would be nice to have empty sprints available in all backlogs so that the teams can plan their stories.     h3. Suggested Solution    Add a new setting in JIRA to allow empty sprints to be visible in any board.      """""""		0.98782504	
JRASERVER-71402	JRASERVER	Suggestion	"""As a Jira admin, I'd like to monitor privileged user activity"""	"""""""As a requirement for our enterprise environment, we are required to implement monitoring of privileged user accounts and implement a system to alert when suspicious activity occurs.    We'd like this feature to be implemented in Jira, perhaps, as part of the Jira audit logging"""""""	"""""""Privileged"""" meaning Jira administrators or also project administrators?"" [SEP] ""In this context it would be Jira System and Jira Administrators who have system level controls that can change environment level settings. """	0.9877216	
JRASERVER-69645	JRASERVER	Suggestion	"""Bring back the Issue View Look & Feel to the one prior to Jira 7.10"""	"""""""h3. Summary    Since Jira 7.10, the look and feel of the Issue View is different as stated in these documentations.   * [Jira 7.10 release notes|https://confluence.atlassian.com/jirasoftware/jira-software-7-10-x-release-notes-949226697.html]    * [7.10 upgrade plan|https://developer.atlassian.com/server/jira/platform/preparing-for-jira-7-10/].   *  [Atlassian design direction|https://atlassian.design/server/]    * [this blog post|https://developers.atlassian.com/blog/2018/03/coming-soon-updated-look-and-feel-jira-server/?_ga=2.120067151.637034643.1563174094-775334995.1536833875].    For some customers, they prefer the old look & feel so we would like for an option or workaround to revert to the old Look & Feel."""""""		0.9876786	
JRASERVER-70784	JRASERVER	Suggestion	"""Ability to have nested group with LDAP directory"""	"""""""Hi,        * As we are using LDAP directories for our users we can not use nested group in our configuration    Please find below our context and need (easier to have all the informations in the ticket) :         So in our instance we have several usecases :   * Scrum Team     * SAFe programs  ....    We have a portal to create users for JIra/Confluence and several tools of a Devops toolchain. In order to manage the user we centralize the user management by this portal. We set three roles in JIRA. These are associated with JIra Groups.    By exemple in the projet DVSTEST. The user are managed like this :         Rôle : project-administrator  Group : <nameOfProject>-admin    Rôle : project-user  Group : <nameOfProject>-user    Rôle : project-reader  Group : <nameOfProject>-reader    In our SAFe organizations we have lots of users, lots of groups and lots of projects that have to interact with each other    So my need would be to create a """"""""super-group"""""""" for a SAFe organization and to have the possibility to add in this group Jira native Group (which are managed with our portal).  It would be usefull to give to all the Jira project Group reading rights.    Ex : Super Group : SAFe_Marketing_reader  In the delegated group : Put all the projects group that would be like to have the reader rights.    Then add the SAFe_reader super group in all the SAFe projects.    That would be a benefit of complexity and of time for us.    I think I would not be the only one who would be interested by this feature (especially SAFe organizations)    Thanks in advance for your consideration.  Please feel free to ask me more question if it is not clear.              Thanks for your interest.    Regards,         Antoine"""""""		0.98758835	
JRASERVER-70893	JRASERVER	Suggestion	"""Allow board administrators to set resolution on statuses even when not using simplified workflows"""	"""""""h3. Problem Definition    When a Scrum or Kanban Board is using a [Simplified Workflow|https://confluence.atlassian.com/jirasoftwareserver/using-the-simplified-workflow-938845286.html], there is a feature available where the administrator may configure specific statuses to automatically set a Resolution value upon an issue entering that status. The effect of this configuration is that the underlying Simplified Workflow will have a Post-function added to each transition that sets that Resolution automatically.    When a board is not configured with a Simplified Workflow, this feature is not available.    It would be convenient to board administrators of this feature could still be implemented with non-Simplified Workflows. Enabling the feature on a status could insert the post-function into every step that transitions into that status, as well as all future transitions introduced.    h3. Suggested Solution     Implement the same functionality to be available for non-Simplified Workflows.    h3. Workaround     Manually manage all workflow transitions to add the Post-function where needed."""""""		0.98756593	
JRASERVER-69067	JRASERVER	Suggestion	"""Dividing Project Administer Permission in sub categories"""	"""""""Administer Project Permission in Project Management permissions grant many abilities to anyone granted that permission, as explained [here|https://confluence.atlassian.com/adminjiraserver0712/managing-project-permissions-959313533.html].    It would be much more helpful and useful to have it divided in to subcategories including, but not limited to the following:  (x) Edit project role membership  (x) Create new project components  (x) Create/ manage project versions  (x) Edit project details     I want to assign a few users the ability to create new components (this can still be done by anyone using labels instead of components as well, but it would still be nice to have a project specific component) or to *create and manage versions* in a specific project without giving them the right to change roles or the name of that project.    Thanks for listening :)"""""""		0.9875652	
JRASERVER-68757	JRASERVER	Suggestion	"""As an administrator of a large instance, I'd like to control the threshold for the Custom Field Optimizer"""	"""""""As per [this documentation|https://confluence.atlassian.com/adminjiraserver/custom-fields-with-global-contexts-956713282.html] the custom field optimizer will show custom fields that have a global context, but are used in less than 10 of all projects.    In very large instances (the size that this tool is aimed to help) it's conceivable that 10 might be too low a cutoff point.    It would be good for system administrators to be able to adjust the cutoff point (either as a value or a percentage, depending on what makes more sense)."""""""	"""I'd be interested to know if changing this value was even possible via a dark feature or similar?"""	0.98756117	
JRASERVER-70119	JRASERVER	Suggestion	"""Allow Sorting for the """"Everything Else"""" Swimlane as well"""	"""""""On the Kanban and Scrum Boards we have the possibility to configure swimlanes, which is already great.    However, we use that quite often to move recurring tasks into separate swimlanes and then end up with having all the recurring tasks on the top swimlanes but the actual work ends up in """"""""Everything Else"""""""" which is always at the bottom.    It would be great if we can decide whether we want to have it at the bottom or at the top. Or, even better, would be if we can drag and drop it into the right order as we do for the other swimlanes."""""""		0.9874414	
JRASERVER-68643	JRASERVER	Suggestion	"""Create linked issue by mobile application"""	"""""""As Service desk agent I would like to create new linked issue (in different Jira Core/ Jira Service Desk project) using mobile application.    As of now I could link issues, but not creating new linked issues.    New linked issues should get all projects and custom fields as in WEB screen.    Business scenario:    I receive issues in Service Desk (one project only) by my customers. As an agent I distribute these issues to different projects (including Jira Core) for further processing by consultants and technical teams. This operation I perform as """"""""create new linked issue"""""""" into other projects."""""""	"""y consider this enhancement to the mobile app-in today’s world of digital transformation having full functionality on a mobile app could be a major selling point for you !"""	0.9872814	
JRASERVER-69272	JRASERVER	Suggestion	"""Built-in Interactive Search instead of Pagination"""	"""""""*Background*  Atlassian Applications such as Jira and Confluence implements _pagination_ as a user interface design feature. The purpose behind pagination is also to improve on Performance whereby loading of items are limited.    *Suggestion*  Most modern graphical user interfaces are using _Built-in Interactive Search_ which can be a better way instead of _pagination_. A search function would be able to return accurate results quicker instead of having the person to click on pages based on """"""""guesses"""""""" on where the items are.     If _pagination_ is still the way to go, then at least implement a global setting which defines the maximum number of entries one sees per page.    P.S: This might be a good source of reading, https://www.nngroup.com/articles/item-list-view-all/  """""""		0.9872279	
JRASERVER-71415	JRASERVER	Suggestion	"""Standard IssueLinks shall show only specific issue types to link to"""	"""""""We would like to get some structure in our Jira project which means that we don't allow to link any issue type with any other issue type.    When using the standart IssueLinks it always allows to link to any other Jira issue, e.g. it can result in having a BusinessEpic as child of a Story or such nonsense.    Example:    We have BusinessEpic, Epic and Story as issue types in our project and want to configure that the Epic child-of link will only allow to enter the BusinessEpic issue types - it shall be filtered when the user tries to create the link."""""""		0.9871272	
JRASERVER-68626	JRASERVER	Suggestion	"""Notification Scheme condition to allow JIRA to send email notifications to a single email address for a group users"""	"""""""h3. Problem Definition  JIRA by default is designed to send out email notifications to user's individual email addresses should they be eligible for the notification events.     It would add to the notification scheme configurability if JIRA is able to send out email notifications to one email address for a group of users rather than sending it out to each of the individual email addresses.    e.g.: If user A, B and C are in a group, any notification event will send email notifications to one email address set for the group.    h3. Suggested Solution  Allow groups in notification scheme to receive email notifications from a singular email address.    h3. Workaround   None"""""""	"""Hi @Irfan    Adding to it, the condition should not only applicable to groups but any defined condition which could trigger the notification to any individual mail id."""	0.98707914	
