project	issue_key	issue_type	summary	description	label
TIMOB	TIMOB-28141	New Feature	iOS/macOS: Support Swift Package Manager (SPM) in modules	"In the modern iOS/macOS ecosystem, the Apple-owned ""Swift Package Manager"" is the new way of managing external dependencies. While other solutions like Cocoapods and Carthage still exist, the future is definitely the Swift Package Manager.    In general, you just ned to paste the Github link of the library into Xcode, select the version (or version range) and Xcode will find the correct version of the library.    This is already possible in modules today (I wondered as well), but the problem is that the SPM settings belong into the generated app, not the module Xcode project.    Technically, what it needs to support this, is *relatively* simple:  # Verify the module / app extension compilation. This probably does not need *any* changes, because mainly {{xcodebuild}} is used here and that works  # Copy the {{Package.resolved}} file of the module into the module zip. It looks like this:    # Reference the {{Package.resolved}} during build and re-generate the pbxproj references for SPM:    All required data of that can be received from the {{Package.resolved}} file of each module :-)  # Finally: Add the framework references to the pbxproj like before, e.g.      I can assist with sample projects and further information if requested!    P.S.: Supporting this, modules will also shrink in size by > 95% and make the Appc Github CI happy :) "	Design
CONFSERVER	CONFSERVER-60364	Bug	Files uploaded in Attachment macro via drag and drop is not visible in Attachment macro pointing to a different page.	"h3. Issue Summary    Files uploaded in Attachment macro via drag and drop is not visible in Attachment macro pointing to a different page. It gets added as an attachment to the current page.  h3. Steps to Reproduce   # Create a new Page A   # Add attachment Macro in it and point it to a different page B with attachments.   # Save the Page   # All the attachments from Page B are visible in the attachment macro on Page A   # Drag and Drop an attachment in the macro. The attachment should be visible on the macro but is added in the attachments in the Page A but not visible in the attachment Macro.    h3. Expected Results    Attachments should be added in the Attachment Macro.    If I used browse instead of drag and drop, the attachments are visible in the attachment macro. However with drag and drop this doesn't seem to be the case.     The attachment should be added to the page B and not to page A.  h3. Actual Results    Attachments are added to the current page.  h3. Workaround    Use browse instead of drag and drop, the attachments will be  visible in the attachment macro."	Not Design
SERVER	SERVER-51660	Task	"Propagate resharding fields through the enqueued metadata combination algorithm"	"""If we have multiple CollAndChunkTasks enqueued to be persisted to disk, we will lose the {{reshardingFields}} field [when iterating through the tasks|https://github.com/mongodb/mongo/blob/14bfbd8833706912617c0c904cce9847fbbbd0f1/src/mongo/db/s/shard_server_catalog_cache_loader.cpp#L1346-L1386].     We're assuming with this ticket that the iteration will be from oldest to newest, so we can always prefer the next task's {{ReshardingFieds}} struct when iterating. This ticket's implementer will need to verify that assumption with [~<USER>.    If the above assumption isn't correct, we can write a {{ReshardingFields}} comparator. It's safe just to compare based on state, because the coordinator should never modify the {{ReshardingFields}} for a collection when not also modifying state."""	Design
DNN	DNN-10700	Bug	Image preview does not change after URL change and redirected to the same page	"*Steps*  Add a new page.  Add a module journal to the page.  Add the following URL and press space or enter  www.google.ca.    *Actual result -* Image preview is generated as expected.    Now change the URL to www.dnnsoftware.com .  *Actual result -* New image preview is not generated ,old preview remains.  *Expected -* New preview should be generated.    Share the post and click the preview.  *Actual Result -* Redirected to the same page.  *Expected -*  Should take to the relevant URL.  "	Not Design
MULE	MULE-14817	Task	Salesforce Connector Review - Phase 1	"Salesforce Connector Review - Phase 1"	Not Design
MULE	MULE-14695	Task	Add proper test coverage to secure-property-extension	"Test coverage is around 55%. It needs to be at least 80%"	Not Design
CONFSERVER	CONFSERVER-60241	Bug	Companion app will not work if the windows user acount username contains special chracters (#, @, %, and etc))	"h3. Issue Summary  If the windows user account username contains special characters, Companion app will not be able to allow the user to open the file and re upload it after the user edited the file.    h3. Steps to Reproduce  # Create a local window account with username {{#test}}  # Login with the account that just created  # Try to access a Confluence page with an attachment  # Edit the attachment to launch the companion app  # An error will appear.  (i) For details, please refer to the following video.   [^Recording #3.mp4]     h3. Expected Results  User is able to edit the file and upload to Confluence    h3. Actual Results  User is not able to upload the file after edited the attachment as Companion app is not able to upload it.    The below exception will appear when user edit the attachment.      h3. Workaround  Remove the special characters for the windows account username and ensure the folder name for the user do not contains special characters as well."	Not Design
TIMOB	TIMOB-28071	Improvement	iOS: Use new build system in module build	"In Xcode 12 , Apple has deprecated 'Legacy Build System'. In titanium module build 'Legacy Build System' is still used. See [here|https://github.com/<USER>titanium_mobile/blob/59f313aef87d3ea3492b3216cacec7900dc7a6b7/iphone/cli/commands/_buildModule.js#L465]. Update to use  'New Build System'."	Design
CONFSERVER	CONFSERVER-60379	Bug	Team Calendar Events Created using 6.0.50 version of Team Calendar does not work on any mail client	"h3. Problem    Team Calendar Events Created using 6.0.50 version of Team Calendar does not work on any mail client    h3. Environment  .  Confluence : Any version. Tested using 7.5.1  Team Calendar : 6.0.50    h3. Steps to Reproduce    1. Create a calendar and events within this calendar using Team Calendar version 6.0.50  2. Either export this calendar as .ics file and attempt to view it on a mail client like outlook  or  1. Choose  to the right of the calendar name, then choose Subscribe.  2. Select iCal from the Calendar app dropdown (don't choose Outlook for one-way sync).  3. Copy the Calendar URL.    4. Use this url in outlook for importing this calendar and events.    h3. Expected Results    The calendar events created using team calendar should be listed here.    h3. Actual Results    Events are not listed.    h3. Workaround  No workaround at this point other than upgrading Team Calendar to higher version like 6.0.53    h3. Notes  "	Not Design
DNN	DNN-10710	Bug	Prompt : Copy module does a shallow copy	"1- Open DNN platform and login as Superuser  2- Open PB > Manage > Pages  3- Create two pages(source with html module - destination empty)  4- Open PB > Settings > Prompt  5- Use list-pages to capture source and distnation page ids  6- Use list-modules --pageid SourcePageID => to capture the moduleid  7- Use CopyModule moduleID --pageid sourcePageId --DistnationPageID DistnationPage  8- After successful copy, modify the text in the source and verify that distnation still the same     Expected results:  - This should be deep copy not a reference copy    Results:  - It only copy a the reference   https://www.screencast.com/t/6MHRFL2W7b"	Not Design
MULE	MULE-11788	Task	Spike on OAuth support for SDK	"Spike on OAuth support for SDK"	Not Design
MULE	MULE-14803	Bug	XML SDK modules do not support reading properties from an external file	"XML SDK modules do not support `<configuration-properties />`, i.e., reading properties from an external file:        is caused by     <mule:logger message=""Creating user"" level=""DEBUG"" category=""$\{log\}"" />    together with     <mule:configuration-properties file=""config.properties"" doc:name=""Props"" />    The exact same code (minus the `mule` XML namespace) works in a Mule app"	Not Design
MESOS	MESOS-10124	Bug	OpenSSLSocketImpl on Windows with 'support_downgrade' is incorrectly polling for read readiness.	"OpenSSLSocket is currently using the zero byte read trick on Windows to poll for read readiness when peaking at the data to determine whether the incoming connection is performing an SSL handshake. However, io::read is designed to provide consistent semantics for a zero byte read across posix and windows, which is to return immediately.    To fix this, we can either:    (1) Have different semantics for zero byte io::read on posix / windows, where we just let it fall through to the system calls. This might be confusing for users, but it's unlikely that a caller would perform a zero byte read in typical code so the confusion is probably avoided.    (2) Implement io::poll for reads on windows. This would make the caller code consistent and is probably less confusing to users."	Not Design
MULE	MULE-14670	Bug	IllegalStateException when disposing application after initialise phase failed	"Using Mule 4.1 when the HTTP Listener is starting, but the designed port is not avaible, the listener fails and makes the application start to dispose, but when disposing Mule throws {{Caused by: java.lang.IllegalStateException: Lifecycle Manager 'org.mule.Registry.Spring' phase 'initialise' does not support phase 'stop'}}    "	Not Design
TIMOB	TIMOB-28205	Bug	Angular: packaging an angular app fails	"h5. Steps to reproduce:  1. Create an angular app.  2. Try to package it for android & ios via CLI or after importing it to studio.    h5.Actual result:  1. Packaging fails with:      h5.Expected result:  1. The app is packaged successfully."	Not Design
MULE	MULE-14810	Bug	Unable to get exception details inside mule interceptor	"While executing the mule flow if exception is thrown then that exception details are not availble in the Interceptor's *last()* method. This is because the exception strategy is executed after the call to the *last()* method of the interceptor. Let's say in below flow snippet if I throw some exception then I am unable to get that exception details inside Interceptor.    <flow name=""test-logingFlow"">   <http:listener config-ref=""HTTP_Listener_Configuration"" path=""/test/log"" doc:name=""HTTP""/>   <custom-interceptor class=""com.mule.interceptor.LoggingInterceptor"" doc:name=""Logging Interceptor""/>      <!-- I want to get below exception details inside the Interceptor -->   <validation:is-not-null value=""#[payload]"" message=""Payload should not be null"" exceptionClass=""java.lang.NullPointerException"" doc:name=""Null Check""/>      <catch-exception-strategy doc:name=""Catch Exception Strategy"">   <set-payload value=""Error Occured"" doc:name=""Set Payload""/>   </catch-exception-strategy>   </flow>         And my LoggingInterceptor is extending AbstractEnvelopeInterceptor and the method is below.         @Override   public MuleEvent last(MuleEvent event, ProcessingTime time, long startTime, boolean exceptionWasThrown) throws MuleException \{    if (exceptionWasThrown) \{   ExceptionPayload exceptionPayload = (ExceptionPayload) event.getMessage().getExceptionPayload();   System.out.println(""========>"" + exceptionPayload); // it is printing null      }    } catch (Exception e) \{   LOG.error(""Error occurred in Logging Interceptor : "", e);   }      return event;   }"	Not Design
DM	DM-27143	Story	Update document builds to use GitHub Actions / current build template	"In this Community Forum post we announced a new build system for our documents: [https://community.lsst.org/t/technical-notes-are-migrating-to-github-actions/4191]    With pybtex 0.23, released today, Lander no longer works with Python 3.5.    This ticket is to upgrade all PDF-based documents to use the current template that haven't already been migrated by their curators."	Design
NEXUS	NEXUS-25286	Bug	a docker connector port set to the same value as one of the main NXRM jetty connector ports can prevent startup	"In general, when a docker repository port is configured to a value of a port already in use by any other process on the host, this will not prevent startup of NXRM: NEXUS-19527    A special case exists where if a docker repository http or https port is configured to be matching the same port as the same NXRM instance Jetty application connector ports, then startup will fail.    h4. Reproduce    Start NXRM with default 8081 port.  Add a docker repo with http port of 9081.  Shut down NXRM and edit etc/nexus.properties application-port value to be 9081  Try to start NXRM. Startup will fail with logs containing a message similar to:        h4. Expected    The main application-port / application-port-https ports should always take precedence over individual repo connector ports and where a conflict occurs, only the repo connector is allowed to fail starting. NXRM application should not be prevented from starting.  "	Not Design
JRASERVER	JRASERVER-71617	Bug	Pagination and refresh button are not directly visible when banner is used	"h3. Issue Summary    If any kind of announcement banner is used results summary in Issue Search is not directly visible and additional scrollbar is added.  h3. Steps to Reproduce   # Set any kind of announcement banner.   # Go to Issue Search and turn on the List Mode.    h3. Expected Results    Pagination and refresh buttons always visible. No double vertical scrollbar.    !image-2020-09-25-15-50-25-439.png|width=520,height=287!  h3. Actual Results    Pagination and refresh button are hidden. Double scrollbar appears.    !image-2020-09-25-15-51-17-532.png|width=456,height=232!  h3. Workaround    Turn off the banner."	Not Design
MESOS	MESOS-10068	Bug	Mesos Master doesn't send AGENT_REMOVED when removing agent from internal state	"Hello,         Looking at the documentation of the master {{/api/v1}} endpoint, the {{SUBSCRIBE}} message says that only {{TASK_ADDED}} and {{TASK_UPDATED}} is supported for this endpoint, but when a new agent joins the cluster a {{AGENT_ADDED}} event is received.    The problem is that when this agent is stopped the {{AGENT_REMOVED}} is not received by clients subscribed to the master API.         I testes this behavior with versions: {{1.7.3}}, {{1.8.2}} and {{1.9.1}}. All using the docker image {{mesos/mesos-centos}}.    The only way I saw a {{AGENT_REMOVED}} event was when a new agent joined the cluster but the master couldn't communicate with this agent, in this specific test there was a firewall blocking port {{5051}} on the slave, that is, no body was being able to tal to the slave on port {{5051}}.       h2. Here are the steps do reproduce the problem   * Start a new mesos master   * Connect to the {{/api/v1}} endpoint, sendingo a {{SUBSCRIBE}} message:   **        * Start a new slave and confirm the {{AGENT_ADDED}} event is delivered;   * Stop this slave;   * Checks that {{/slaves?slave_id=AGENT_ID}} returns a JSON response with the field {{active=false}}.   * Waits for mesos master stop listing this slave, that is, {{/slaves?slave_id=AGENT_ID}} returns an empty response;    Even after the empty response, the event never reaches the subscriber.         The mesos master logs shows this:    And then:    And some time after this:         Even after this removal, the {{AGENT_REMOVED}} event is not delivered.         I will attach the full master logs also.         Do you think this could be a bug?"	Not Design
DM	DM-27159	Bug	measurePhotonTransferCurve.py fails on LSSTCam	"I ran a PTC task on BOT run 12606, the first time we have the full LSSTCam.  Six CCDs failed to return results.  I am tracking down the reasons. Four CCDs failed for the same reason, R01_S20 (det 6), R11_S21 (det 43), R23_S10 (det 102), R43_S11 (det 184).  The error given in 'RuntimeError: dictionary changed size during iteration'.  below is a command line that reproduces the error, and the error string.    Command line:    Error:  "	Not Design
FAB	FAB-18210	Bug	Don't call the haltCallback in etcdraft.Chain when the chain was previously Halt	"After Halt() was called, e.g. from RemoveChannel, it might happen that the internal halt() is still called by one of the chain's go-routine. In this case, halt() should not call the haltCallback."	Not Design
DNN	DNN-10782	Bug	Prompt: "Config" command is not working properly	"*+Steps+*:  # Login as host  (Platform . 09.02.00 (351))  # Go to settings> Prompt  # Type ""list-modules""  # Type ""config 50%""  # Notice the prompt area.    *+Result:+*  - You'll find that the prompt area still in full size, however the scroll got shrunk to 50 % and the results is displayed in this area only.    *+Expected:+*  - The prompt area in this case should be 50% of the height, then when typing back ""config100%"", it should get to full size   !image-2018-02-27-13-38-04-233.png|thumbnail!    !image-2018-02-27-13-38-14-850.png|thumbnail!     Central Jira Link: https://jira.devfactory.com/browse/DNN-17471"	Not Design
NEXUS	NEXUS-24858	Improvement	Allow `Repair - Reconcile component database from blob store` task for NuGet	"As an administrator of Nexus Repository Manager 3, if I find my database out of sync with my blob store or in need of repair and I use NuGet, I would like the `Repair - Reconcile component database from blob store` to include the NuGet format."	Design
FAB	FAB-18265	Task	Always Use DummyKeyStore In PKCS11 BCCSP	"1.4.7 Fabric introduced a breaking change in BCCSP when using persistent write protected storage on Kubernetes. Prior to 1.4.7 if the user set `core.peer.bccsp.pkcs11.filekeystore` the directory was never created. In 1.4.7, a small refactoring forced the directory to start being created, despite the fact it wasn't needed. For users who use kubernetes and init containers to create the directories, this change prevents the peer startup sequence from happening due to these volumes being write protected.    A PKCS11 BCCSP provider does not require a keystore. We should remove the path that initializes a keystore and always use a dummy keystore instead."	Not Design
CONFSERVER	CONFSERVER-60311	Bug	Broken Image for plugin Placeholder	"h3. Issue Summary    Confluence generates a lot of Broken Image for plugin Placeholder error.  {code:java}  2020-09-09 08:15:19,931 ERROR [http-nio2-8090-exec-8] [ContainerBase.[Standalone].[localhost].[/]] log Unhandled exception occurred whilst decorating page   -- referer: https://confluence.example.com/pages/viewpage.action?pageId=345506124&src=contextnavpagetreemode | url: /plugins/servlet/confluence/placeholder/error | traceId: 8db6e7517bc8c069 | userName: y008692  java.lang.IllegalArgumentException: input == null!   at java.desktop/javax.imageio.ImageIO.read(Unknown Source)   at com.atlassian.confluence.tinymceplugin.placeholder.DefaultPlaceholderImageFactory.getIcon(DefaultPlaceholderImageFactory.java:195)   at com.atlassian.confluence.tinymceplugin.placeholder.DefaultPlaceholderImageFactory.getPlaceholderImage(DefaultPlaceholderImageFactory.java:92)   at com.atlassian.confluence.tinymceplugin.placeholder.DefaultPlaceholderImageFactory.getPlaceholderImage(DefaultPlaceholderImageFactory.java:54)   at com.atlassian.confluence.tinymceplugin.placeholder.DefaultPlaceholderImageFactory.getPlaceholderImage(DefaultPlaceholderImageFactory.java:44)  {code}  h3. Steps to Reproduce   # This can be reproduced very easily, I have used the mentioned user scenario but that case any other plugin image also. I created a page in Confluence and mentioned one user using @ mention.   !Screenshot 2020-09-08 at 3.06.43 PM.png|width=618,height=182!   # Now, using Confluence Source editor, I changed the Mentioned user User_key to any dummy number.   !Screenshot 2020-09-08 at 3.20.32 PM.png|width=537,height=152!   # After doing that, I started getting the same error message.    h3. Expected Results    Confluence should display a proper error message that a particular image is broken.  h3. Actual Results    The below exception is thrown in the atlassian.confluence.log file:    h3. Workaround    Currently, there is no known workaround for this behavior. A workaround will be added here when available    But such error can be ignored as this is not impacting any Confluence functionality."	Not Design
DNN	DNN-10697	Bug	IE Issue: Execution of get command in console of Prompt doesn't work	"Tested in v. 09.02.00 (323)-661 - in Chrome, IE & FF browsers    *+Steps to Reproduce:+*  # Go to PB -> Settings -> Click on Prompt  # Enter the Get command and execute it in the console  # Eg. *1) get-module 356 --pageid 34*           *2) get-module 8 --pageid 8*  *+Test Step:+*  (x) Verify the execution of ""Get"" command with valid data in Prompt displays the appropriate data in IE  browser  (x) Verify the execution of ""Get"" command with invalid data in Prompt displays the appropriate message in IE  browser    *Test Result:*  *Issue:* Execution of command doesn't work at all   !screenshot-1.png|thumbnail! "	Not Design
NEXUS	NEXUS-24851	Improvement	Document All Expected Response Codes for REST API	"The swagger API documentation should document all expected response codes for the REST API including all expected responses for successful requests.          "	Design
FAB	FAB-18187	Story	Back-porting Go Modules to 1.x	"Is there any chance that the migration to go modules could be back-ported for the latest 1.x release (1.4.8 at the time of this writing)?    I want to write a chain code with the latest 1.x version, but really dislike the legacy package management of go and the need to manage $GOPATH and other env vars (personal preference).    If I understand it correctly all it would take is a single commit that adds a go.mod file on the 1.x branch and then a release of a minor version that gets tagged so go can pick it up as a version. Also happy to send a PR with this if people support the idea. Please advise."	Design
SERVER	SERVER-51775	Improvement	"Failpoint to disable periodic uptime reporter thread should instead just disable uptime reporting"	"""The disableShardingUptimeReporterPeriodicThread failpoint [stops the whole uptime reporter thread|https://github.com/mongodb/mongo/blob/5362f02f26313574e3aa8cadcc6fd66bc43f301b/src/mongo/s/sharding_uptime_reporter.cpp#L115-L119], but this is overkill for the intended purpose of not doing uptime reporter writes on the configsvrs (because this thread is also responsible for refreshing the balancer state and CWRWC defaults).  This failpoint should be renamed to disableShardingUptimeReporting, and its effect changed to just skipping/short-circuiting reportStatus()."""	Design
CONFSERVER	CONFSERVER-60295	Suggestion	Better to add grid type of field in Jira instead of using third party plugins like idalko grid editor	"As of now, we are using idalko grid editor plugin for grid type of fields and facing some report issue. Whereas if there is grid type of field in Jira , then there might not be a report values issue."	Design
DM	DM-27153	Story	Defaulting the instrument in registry	"Unlike gen2, gen3 can work with multiple instruments and so therefore generally requires that an instrument be specified in a dataId or where clause when selecting datasets.    This requirement to always specify an ""unnecessary"" instrument has generated some negative feedback.    The problem with globally declaring that a registry only has one instrument is that if you ever change your mind (say adding LATISS data to an LSSTCam registry) then all the code that assume the instrument would default now breaks.    One proposal is to treat instrument as a special property (see also DM-27152) and allow for instruments to be associated with specific collections. If you are using collection ""HSC/raw/all"" then it is likely that a single instrument is relevant. If a collection happens to include data from multiple instruments it would not be associated with a defaulted instrument but that would be rare and in most cases would have been deliberately configured to be like that."	Design
NEXUS	NEXUS-25037	Bug	Auto blocking enabled turned off does not turn the feature off	"Create a maven 2 proxy repo to remote URL https://packages.atlassian.com/mvn/maven-external/. Make sure the setting Auto blocking enabled is NOT turned on ( checked ). Save.    Send an inbound request for an artifact that does not exist at the remote site, but causes the remote site to return 401 response. A 401 response from a remote is intended to auto-block a repository ( if the Auto block feature is enabled ).    Example:    Client requests this http://localhost:8081/repository/atlassian-maven/com/example/example/0.1.029/maven-metadata.xml  NXRM sends to remote and gets 401, then sets the repo status to unavailable:        h4. Expected    When the Auto blocking feature for a proxy repository is disabled, then the repository should never become blocked automatically or have the repo status set to anything other than READY or AVAILABLE.    Note: There is a manual set Blocked setting - that setting is independent and takes precedence if turned on.    "	Not Design
MESOS	MESOS-10053	Task	Update Docker executor to set Docker container's resource limits and `oom_score_adj`	"This is to set resource limits for command task which will run as a Docker container."	Not Design
MESOS	MESOS-10168	Task	Add secrets support to the CSI volume managers	"We must update our CSI code to pass secrets to CSI drivers when staging/unstaging and publishing/unpublishing volumes. We must ensure that we avoid writing any secrets to disk by holding a secret resolver in the appropriate component to resolve secrets associated with already-attached volumes during/after recovery."	Design
SERVER	SERVER-51784	Task	"Create privilege that exempts operations from contributing to resource consumption metrics"	"""Create a new privilege given only to __system and automation users that exempts their operations from contributing to global resource consumption metrics."""	Design
NEXUS	NEXUS-12237	Technical task	REST API replacement for /service/local/artifact/maven/resolve	"Main use case: https://support.sonatype.com/hc/en-us/articles/213465488-How-can-I-retrieve-a-snapshot-if-I-don-t-know-the-exact-filename-    This endpoint returns a JSON response DTO with information about the resolved Maven artifact using the parameters passed in the request."	Design
FAB	FAB-18227	Sub-task	Kubernetes - Perform Join By Snapshot With Large Payload Using CouchDB	"Using the snapshot files generated in the previous task, bootstrap a new peer using `peer channel joinbysnapshot` command.    Record the time for each snapshot to join and graph it as a function block height and attach it to this Jira.    Acceptance Criteria: A graph of the time to join as a function of blockheight is available for review"	Design
DNN	DNN-10724	Improvement	Prompt: Mis-Alignment of Close icon on Scroll bar	"*+Steps to Reproduce:+*  # Go to PB -> Settings -> Prompt   # In console, enter the command ""list-modules""  # View the display of close icon on Scroll bar    *+Expected Result:+*  Alignment of Close icon and Scroll bar should be proper in prompt console    *+Actual Result:+*  Alignment of close icon on scroll bar isn't proper   !image-2018-01-23-19-57-11-655.png|thumbnail! "	Design
MESOS	MESOS-10076	Task	Cgroups isolator: create nested cgroups	"Update Cgroups isolator to create nested cgroups for a nested container, which supports nested cgroups, during container launch preparation."	Not Design
FAB	FAB-18268	Task	Add SetPolicies() to easily replace multiple policies in an existing configuration in bulk	"As a user of Fabric Config Library, I would like to replace policies in bulk like *(*ApplicationGroup)SetACLs()*.         *Motivation:*   In the current Fabric Config Library replacing multiple policies in an existing configuration could be a bit tedious.   For example, the following methods could be considered to achieve this at present:   - Method 1: Repeat *SetPolicy()* and *RemovePolicy()* for the group to be replaced.   - Method 2: Use *Configuration()* to get the config struct for the group -> replace the policy fields in that config struct -> then use *SetXXX()* to reconfigure   ** NOTE: some groups does not seem to support this way (e.g., *ordererGroup.SetConfiguration()* is skips updating policies)    By providing functions to replace multiple policies in bulk, users can change multiple policies with a single function call, so users should not need a tedious method like the above two.         *Example for usage of the proposed function:*  {code:go}  a := c.Application()  a.SetPolices(newPolicies) // replace the all existing policies in the configuration with newPolicies in bulk  {code}       *Targets to add the new functions:*   - ApplicationGroup   - ApplicationOrg   - ChannelGroup   - ConsortiumOrg   - OrdererGroup   - OrdererOrg"	Not Design
FAB	FAB-18243	Story	Provide metrics around HSM operations.	"We are doing HSM performance testing and decided it would be valuable to add metrics around PKCS11 calls so we can easily see how many calls are being made and, more importantly, how long the calls are taking.         This would help users be able to quickly spot HSM related issues vs issues in fabric itself.         Some possible metrics, although this is off the top of my head, so please provide what you think makes sense:        * Time each call takes   * Number of calls   * Session Pool size?   * Metrics on sessions that are removed from the pool because they are invalid?"	Design
CONFSERVER	CONFSERVER-60344	Bug	Race condition on i18n caching, which prevent health check monitor plugin running healcheck	"h3. Issue Summary    When restoring full export from Cloud to Confluence Server, there will be a lot of failed health check warning. The health check task can finishing running due to i18n cache is locked.  h3. Steps to Reproduce    We currently can't reproduce the problem  h3. Expected Results    The health check plugin run normally.  h3. Actual Results    The below exception is thrown in the xxxxxxx.log file:    h3. Workaround    Running confluence with more param but it could slow due to reload i18n resource:   "	Not Design
JRASERVER	JRASERVER-71723	Bug	Adding a custom field option value with more than 255 characters results on a 500 error page	"h3. Issue Summary    When updating an option value with more than 255 characters at a ""Select List (single choice)"" custom field, a 500 error page is exhibited.  The issue happens because the value exceeds the size from column ""customvalue"" of the table ""customfieldoption"".    h3. Steps to Reproduce  # Create a ""Select List (single choice)"" custom field with any option value.  # At the Jira Custom Fields management page (Administration > Issues > Custom fields), click at the Actions > Configure button for the newly created custom field.  # At the bottom of the page, click at the ""Edit Options"" link.  # Try to add a new Custom Field Option or edit one that already exists using a text field with more than 255 characters.  # A 500 error page will occur when trying to save the value      h3. Expected Results    There should be a filter at the UI for these fields, limiting the field up to 255 characters.    h3. Actual Results    A 500 error message containing the text below:          h3. Workaround    Currently there is no known workaround for this behavior. A workaround will be added here when available"	Not Design
MULE	MULE-14826	Bug	HttpResponseBuilder doesn't close stream after convert it to byte array.	"HttpResponseBuilder code uses the IOUtils.toByteArray method that like the most of the apache common methods, doesn't close the stream that copies.  We should close the stream in our code. "	Not Design
DM	DM-26177	Story	Write the Test Framework of SAL LabVIEW API in Phase 1	"Write the test framework of SAL LabVIEW API. This task begins to construct a framework to test the LabVIEW API for each new SAL update. In the past, we used the component CSC in LabVIEW to test this. Now, we need a framework to test this automatically. The SAL LabVIEW APIs rely on the shared memory, which is not needed for the C++ and JAVA APIs. Therefore, this kind of automatic test framework should be helpful for the maintenance of CSC in LabVIEW. This task is in the phase 1."	Design
NEXUS	NEXUS-14083	Improvement	Add Amazon EC2 Container Registry (ECR) support for Docker proxy registries	"At the moment I haven't been able to find a way to use an Amazon ECR repository as a backend for a Nexus Docker proxy repository.    The main piece missing is the need to deal with ECR's specific login mechanism. AWS ECR requires the user to get the authentication token to be used as `docker login` credentials through their AWS CLI/API ([https://docs.aws.amazon.com/AmazonECR/latest/userguide/Registries.html#registry_auth|https://docs.aws.amazon.com/AmazonECR/latest/userguide/Registries.html#registry_auth]). This token expires in 12 hours, so adding fixed Authentication headers to Nexus proxy repository configuration is not an option.    It would be great to have this use-case covered."	Design
DM	DM-25616	Story	Migrate to Fastly's built-in configuration features	"Since our initial launch of LSST the Docs in 2016, Fastly has incorporated built-in configuration options for several of the things that we originally needed to add custom configuration for. There are also configuration aspects that are no longer relevant.    This ticket is to make these configuration changes. Note that DM-24955 is where we're fixing directly index support with query strings.   # Switch `Redirect to HTTPS` request setting to the built-in `Force TLS and enable HSTS`. Also, drop the ""If not TLS"" condition to ""Reset original host for HTTPS redirect"" [https://docs.fastly.com/en/guides/enabling-hsts-through-fastly]   # Drop the RTD redirect Content header settings.   # Stop using `900` range for internal states. Instead, use `600`. Based on Howell's blog post from [McDowell|https://www.integralist.co.uk/posts/fastly-varnish/].   # Change headers like http.location to `http.Location`.   # Fastly's built-in error page support (e.g. 404).   # Fastly's built-in gzip support"	Design
DM	DM-25683	Story	Migrate stable to new argocd framework	"Update stable to the new science-platform way of doing things, like we did for int.  Should be simpler since we've hopefully found most of the issues.  Also clear out old broken stuff like abandonded namespaces."	Design
CONFSERVER	CONFSERVER-59020	Suggestion	REST API Endpoint for Content Indexing Queue pending items	"For monitoring purposes, it would be helpful to have an endpoint that would return the output of the page http://<confluence>/admin/viewindexqueue.action, focusing the output to the amount of pending indexing items in the queue.    That'd help customers have visibility of their index queue in a proactive way, having them take measures when that queue is increasing and not decreasing a given period of time."	Design
FAB	FAB-18178	Documentation	Documentation for Channel Participation API	"In addition to documenting this new feature, we need to decide what to do about the all the existing documentation around the requirement for a system channel:    Key concepts:   *  Capabilities capabilities_concept.md     - Membership membership/membership.md   - Blockchain network network/network.html   - Policies policies/policies.md    Arch ref:   - Defining capability requirements capability_requirements.rst    Command ref:   - Configtxgen commands/configtxgen.md    Tutorials   - Updating a channel configuration config_update.md   - Creating a channel create_channel..md   - Using configtx.yaml to build a channel configuration create_channel_config.md   - Using the Fabric test network test_network.md   -    Operations Guides   - Channel configuration (configtx) configtx.rst   - Migrating from Kafka to Raft kafka_raft_migration.md   - Membership service providers msp.rst   - Setting up an ordering node orderer_deploy.md   - Configuring and operating a Raft ordering service raft_configuration.md   -    Upgrading to the latest release   - Upgrading to the latest release upgrade.rst   - Enabling the new chaincode lifecycle enable_cc_lifecycle.md   - Updating the capability level of a channel updating_capabilities.md   - Considerations for getting to v2.x upgrade_to_newest_version.md         FAQ   - Fabric-FAQ.html         ------------------------------------    *Fabric v2.3 MVP doc*    *Concept*: TBD best effort    *Task*: Tutorials   - New: Creating a channel create_channel..md   - Potentially update: Using configtx.yaml to build a channel configuration create_channel_config.md    *Reference*: New CLI doc in the Command reference section (auto generated using similar pattern as peer chaincode CLI)     "	Design
TIMOB	TIMOB-24723	New Feature	Android: Support V8 inspector API for debugging to replace "legacy" debugger protocol	"As of V8 5.8, the "";legacy"" debugger protocol is deprecated (and may be removed). We need to update our debugger agent/shim to talk to the V8 inspector APIs. Additionally, we should move to using websockets as the carrying protocol (rather than the http-style header/byte payload legacy devtools protocol). This would allow us to use Chrome DevTools to debug our apps, separately from Studio."	Design
