project,issue_key,issue_type,score,score_reason,review_action,review_note,summary,description
EVG,EVG-1504,New Feature,5,+1:api; +1:endpoint,KEEP,,"""filter out empty task results when merging old and current tasks ""","""""""So that the API endpoint does not return empty test results. """""""
CONFCLOUD,CONFCLOUD-61061,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Allow setting of Space labels using the Space REST API""","""""""It would be useful to be able to set space labels (and therefore categories), when creating or updating a space using the REST api."""""""
MDL,MDL-57925,New Feature,5,+1:database; +1:module,KEEP,,"""Implement the check_updates callback in the database module""","""""""Implement the check_updates_callback to retrieve the list of updates in the module since the given time"""""""
MDL,MDL-57919,New Feature,5,+1:database; +1:service,KEEP,,"""New Web Service mod_data_get_fields""","""""""Return the list of configured fields for the given database.     This will require each field type to return the settings available to avoid security issues (maybe there are configuration tokens exposed there)"""""""
MDL,MDL-57918,New Feature,5,+1:database; +1:service,KEEP,,"""New Web Service mod_data_get_entry""","""""""Get a simple entry (record) of the given database (checking groups permissions, etc..)    It should return both the content for each field, files and also the rendered content."""""""
MDL,MDL-57917,New Feature,5,+1:database; +1:service,KEEP,,"""New Web Service mod_data_get_entries""","""""""Return a complete list of the database records, including (optionally) it contents and files the current user can see with it currents permissions (supporting groups, etc...)    Also for every record the result of data_user_can_manage_entry must be returned (so the ability of editing existing records can be calculated)."""""""
MDL,MDL-57916,New Feature,5,+1:database; +1:service,KEEP,,"""New Web Service mod_data_get_data_access_information""","""""""To retrieve access information like user permissions and current default group in the database and event the number of entries, read only period, specific permissions calculated via functions like data_user_can_add_entry etc..    In general all kind of information required by an external client to be able to interact properly with the rest of the Web Services"""""""
MDL,MDL-57915,New Feature,5,+1:database; +1:service,KEEP,,"""New Web Service mod_data_view_database""","""""""To <USER>view completed and launch the <USER>viewed event for the database.  """""""
MDL,MDL-57910,Epic,5,+1:database; +1:module,KEEP,,"""Prepare database module for the Mobile app ""","""""""* Move most of the code from view.php to functions  * Add required web services  * Implement the check_updates callback    Since most of the code of this module is very very old, we will be moving code from view.php to functions in <USER>data/lib.php    Spec: https://docs.google.com/document/d/13NUR-DCl_B1MqzAOCfgJ6gOP6sBygeY-4kj3xs8-mDM/edit#heading=h.b67ysqmbsw6q"""""""
MDL,MDL-57909,Task,5,+2:public api; +1:api,KEEP,,"""Migrate pubic calendar API to an API class""","""""""From MDL-57599:    """"""""we should not leave the calendar public api in lib.php - please move it to a static class \core_calendar::api so it's super clear and obvious - but we don't have the bad effects of a massive lib.php file."""""""""""""""
MDL,MDL-57903,Improvement,5,+1:api; +1:database; +1:plugin,KEEP,,"""Identify data elements by privacy level and IEEE LOM""","""""""This proposal seeks to improve plugin data management, including both core and third party data fields and tables, in order to:  * Support de-identification at multiple levels of criticality   * Support re-use of data, eg by analytics or by other plugins  * Document relationships between tables for easier sql access, also for """"""""deep"""""""" de-identification, eg replacing exposed index values such as userid and courseid (possibly as part of a separate extraction tool).    Currently data is retr"
JSWCLOUD,JSWCLOUD-15543,Suggestion,5,+2:integration; +1:plugin,KEEP,,"""Continue maintaining JIRA subversion plugin""","""""""h3. Problem Definition The JIRA subversion plugin no longer actively maintained according to the market place: {quote} This plugin is no longer being actively developed, and there are no plans to make it compatible with JIRA 7.4 or above.  If you'd like to work on the plugin, you can fork the source code repository on Bitbucket  For a complete integration with Subversion repositories we recommend using JIRA with FishEye, an integrated solution for source browsing and tracking.  {quote}  Some "
JSWSERVER,JSWSERVER-15543,Suggestion,5,+2:integration; +1:plugin,KEEP,,"""Continue maintaining JIRA subversion plugin""","""""""h3. Problem Definition  The JIRA subversion plugin no longer actively maintained according to the market place:  {quote}  This plugin is no longer being actively developed, and there are no plans to make it compatible with JIRA 7.4 or above.    If you'd like to work on the plugin, you can fork the source code repository on Bitbucket    For a complete integration with Subversion repositories we recommend using JIRA with FishEye, an integrated solution for source browsing and tracking.   {quote"
JRACLOUD,JRACLOUD-63965,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Use Confluence's REST API to search for page content""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-63965].   {panel}  Currently, JIRA uses XMLRPC to communicate with Confluence in four ways:  # Retrieve lists of spaces from the instance.  # Search for content in the instance (globally or by space).  # Given a {{pageId}}, retrieve page titles and urls for Confluence content.  # Given a URL, retrieve a {{pageId}} for what is"
JRACLOUD,JRACLOUD-63964,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Use Confluence's REST API to retrieve Confluence page link data""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-63964].   {panel}  Currently, JIRA uses XMLRPC to communicate with Confluence in four ways:  # Retrieve lists of spaces from the instance.  # Search for content in the instance (globally or by space).  # Given a {{pageId}}, retrieve page titles and urls for Confluence content.  # Given a URL, retrieve a {{pageId}} for what is"
JSWSERVER,JSWSERVER-15530,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Missing sprint information in REST API results""","""""""There is no sprint information in the API referenced in JSW-9928    Which is here:  [https://docs.atlassian.com/greenhopper/REST/cloud/#agile/1.0/issue-getIssue]    It still comes in the custom field, not in a field called sprint, and is not formatted correctly."""""""
JSWCLOUD,JSWCLOUD-15530,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Missing sprint information in REST API results""","""""""There is no sprint information in the API referenced in JSW-9928  Which is here: [https://docs.atlassian.com/greenhopper/REST/cloud/#agile/1.0/issue-getIssue]  It still comes in the custom field, not in a field called sprint, and is not formatted correctly."""""""
CONFCLOUD,CONFCLOUD-60895,Suggestion,5,+2:rest api; +1:api,KEEP,,"""REST API should be able to get space permission as an expansion on the space""","""""""[Spec link|https://pug.jira-dev.com/wiki/spaces/CP/pages/2646605825/Spec+Set+permissions+on+space+create]"""""""
JAVA,JAVA-2440,Improvement,5,+2:async; +1:module,KEEP,,"""Make driver-async an OSGI module""","""""""The driver-async module can be an OSGI module, but currently it's not."""""""
JRACLOUD,JRACLOUD-63934,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Update REST API issue properties documentation""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-63934].   {panel}  h3. Problem Definition  JIRA has experimental REST API operations to change and fetch issue properties:   This is available in [JIRA REST API documentation|https://docs.atlassian.com/<USER>REST/cloud/#api/2/issue/\{issueIdOrKey\}/properties].  The 'set property' operation (a PUT operation) seems to require "
CONFCLOUD,CONFCLOUD-60787,Suggestion,5,+2:rest api; +1:api,KEEP,,"""REST API should be able to set space permissions when creating a space""","""""""https://pug.jira-dev.com/wiki/display/CP/Spec%3A+Set+permissions+on+space+create"""""""
EVG,EVG-1480,New Feature,5,+2:refactor,KEEP,,"""refactor git interaction into common utility package ""","""""""to combine duplicated functionality from the git.get_project and manifest plugins as well as the cli tool. """""""
CONFCLOUD,CONFCLOUD-45858,Suggestion,5,+2:integration; +1:interface,KEEP,,"""Page Properties Report Macro Integration""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.<USER>browse/CONFSERVER-45858].   {panel}  Hi,  Could you please tell us how to make Page Properties Report Macro work with third-party add-on? Should the add-on implement any interface to interact with Page Properties Report? Or maybe it is a bug in Page Properties Report?  We have the first page with multiexcerpt:  !image-2017-01-21-13-55-17-8"
EVG,EVG-1447,New Feature,5,+1:api; +1:service,KEEP,,"""Implement API Pagination""","""""""h4. Acceptance Criteria  * Utility function that takes a service context and pagination handler is implemented   * Tests ensure that it calls the underlying service with the proper key and limit  * Tests ensure that the ‘Next’ and ‘Prev’ link are properly generated  """""""
EVG,EVG-1445,New Feature,5,+2:connector,KEEP,,"""Implement ServiceContext sample connector""","""""""h4. Acceptance Criteria  * Live tests by inserting into the DB and then fetching documents  * Stubbed tests where inserts set a field and retrievals return a stubbed document  * Implemented a test utility that generates a mocked version with all connectors implemented by stubbed versions  """""""
EVG,EVG-1440,Task,5,+3:architecture,KEEP,,"""agent status server output should include task ID ""","""""""we'll need to hang the status server off the agent type, which will require moving loop in main.go into an Agent structure. This depends on uncompleted work in the granular locking project, and some changes to the agent's architecture. """""""
EVG,EVG-1431,New Feature,5,+2:integration,KEEP,,"""Add project support to distinguish between """"system failures"""" and """"test failures"""" for notification purposes""","""""""The Evergreen Slack integration is posting """"""""pink boxes""""""""/""""""""system failure"""""""" as a regular """"""""Task Failure"""""""".    This makes the integration very chatty as we have very frequent system failures, but few task failures, so all these false alarms make the integration very as useful as hoped"""""""
CONFCLOUD,CONFCLOUD-45788,Suggestion,5,+2:rest api; +1:api,KEEP,,"""To provide REST API to create content via Blueprint""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.<USER>browse/CONFSERVER-45788].   {panel}  It will be great if we can have REST API to create content via Blueprint"""""""
MDL,MDL-57645,New Feature,5,+1:module; +1:service,KEEP,,"""New Web Service mod_lesson_view_lesson""","""""""Set the module viewed and trigger module viewed event.    This issue should fix also how completion works currently, the module is marked as view completed regardless the access restrictions."""""""
JSWCLOUD,JSWCLOUD-15448,Suggestion,5,+2:integration; +1:database,KEEP,,"""Let commit hashes be exported from JIRA to Bitbucket""","""""""h3. Problem We have recently realized that all of the information about a given JIRA Issue isn't actually exported when all fields are selected, no matter the format. The main items that are missing are the source code commit information (branch, commit hash, commit message, etc.) that the JIRA/Bitbucket integration provides.  h3. Solution We would appreciate from to have a way to export the commit hashes that are linked to a JIRA Issues when we do perform the Issue exports.  h3. Workaround G"
JSWSERVER,JSWSERVER-15448,Suggestion,5,+2:integration; +1:database,KEEP,,"""Let commit hashes be exported from JIRA to Bitbucket""","""""""h3. Problem  We have recently realized that all of the information about a given JIRA Issue isn't actually exported when all fields are selected, no matter the format. The main items that are missing are the source code commit information (branch, commit hash, commit message, etc.) that the JIRA/Bitbucket integration provides.    h3. Solution  We would appreciate from to have a way to export the commit hashes that are linked to a JIRA Issues when we do perform the Issue exports.    h3. Workar"
MDL,MDL-57635,Improvement,5,+2:integration; +1:plugin,KEEP,,"""User Tours: Restrict tours to account creation date, first login date or last login date""","""""""Hi,    I requested this feature already at the time, when the plugin was not yet part of Moodle core.  Because of the integration, I think feature requests should be created here in the Moodle tracker, am I right?    Here's the link to the GitHub issue with <USER>s comment to it:  https://github.com/andrewnicols/moodle-local_usertours/issues/24    My request is:  Assuming, I create a tour for the target group teacher for getting familiar with a new course. Then only the ones that are new to M"
CONFCLOUD,CONFCLOUD-45723,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Improve rest api call to create child pages""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.<USER>browse/CONFSERVER-45723].   {panel}  h3. Problem Definition When many ancestors are included in the rest api call to create child pages, <USER>uses the first one  h3. Suggested Solution Confluence should use the last ancestors in order to set the parent if more than one are submitted. Using ancestors[0] seems counter intuitive as other par"
JSWCLOUD,JSWCLOUD-19983,Suggestion,5,+3:multi-tenant,KEEP,,"""Allow setting of plan-level permission during Plan creation wizard""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Portfolio Cloud*. Using *JIRA Portfolio Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JPOSERVER-1785].   {panel}  h3. Problem Definition Live plans will be listed on """"""""View All Plans"""""""" page and can be viewed by all users that have Portfolio USER or VIEWER permission.  h3. Suggested Solution Have a way to set Plan-level permission during Plan creation wizard with options to have Plan permission re"
MDL,MDL-57593,Improvement,5,+2:authentication; +1:module,KEEP,,"""Need a captcha for securing login to moodle""","""""""I run a Moodle server exposed to the Internet - https://nukit.ihelse.net, until Dec 2016 Moodle 2.9 on Win 2012 R2 server, now migrated to Moodle 3.2 on Oracle Linux 7.3.  We run course for medical specialists (Nuclear Medicine - see [http://bora.uib.no/handle/1956/11945]). Our teaching library contains real but anonymized cases.  When the solution was approved by our IT security people, our IT security officer insisted that Moodle-login exposed to the Internet was secured with a Captcha as a"
JRACLOUD,JRACLOUD-63899,Suggestion,5,+3:architecture,KEEP,,"""Linux installer should check for compatible architecture""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-63899].   {panel}  The Linux installer does not check of the System or architecture supports the downloaded version of the JIRA Serverapplication. This can easily be done by evaluating the output of """"""""uname -m"""""""".  Instead of doing so the installer fails with a syntax error (unexpected EOF), if you try to install either 32"
JRACLOUD,JRACLOUD-63664,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Get edit issue meta REST call returns empty fields for non editable issue.""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-63664].   {panel}  h3. Steps to reproduce: # Create a project and edit its workflow. # On any of the status, add a workflow properties {{<USER>issue.editable}} with value {{false}} # Publish the workflow. # Create an issue and transition it to the status with the workflow properties above. # After the targeted status is set t"
JRACLOUD,JRACLOUD-63659,Suggestion,5,+3:distributed,KEEP,,"""Allow Export of JIRA System Summary Page""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-63659].   {panel}  +Suggestion Summary+  The JIRA System Info page contains a lot of information that is useful to the Admin and Management of a team.  Hence would it be possible to add a feature that allows the automatic exporting of this data to excel or a similar format to aid with reporting in general?  +Expected Behavior"
BAM,BAM-18102,Suggestion,5,+3:oauth,KEEP,,"""Can we integrate bamboo server with Google oauth?""","""""""Hi,      We would like to allow our users to login to Bamboo server(not cloud) automatically using their email (google apps) .  We would like keep user roles also working."""""""
CONFCLOUD,CONFCLOUD-60952,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Make Custom Content tests only expect an exception if unauthorized""","""""""The <USER>content rest api was changed to return a 403 rather than a 404 if the user was not authorized: https://stash.<USER>projects/CONFCLOUD/repos/<USER>pull-requests/3365/overview. As a result, TestCustomContentDefaultPermission and TestCustomContentRestriction both started failing against the connect <USER>snapshot builds because the rest client threw an exception where we were expecting it to return null. The tests were changed as part of ACDEV-3216 to expect either, so the snapshot bui"
CONFCLOUD,CONFCLOUD-45632,Suggestion,5,+3:sso,KEEP,,"""Synchrony editor loses content despite saying 'Changes saved' when session expires""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.<USER>browse/CONFSERVER-45632].   {panel}  The Confluence editor has always behaved in the worst possible way when a session expires – namely, it provides no hint that anything is wrong, until it's time to save, when you're redirected to the login page and lose all your work.  Some developers might consider losing customer data under normal circ"
JSWCLOUD,JSWCLOUD-19412,Suggestion,5,+2:integration; +1:plugin,KEEP,,"""integration between JPO and Tempo""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Portfolio Cloud*. Using *JIRA Portfolio Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JPOSERVER-1763].   {panel}  Currently there is no integration between JPO and Tempo plugin. It would be great if we could somehow implement certain degree of integration to Tempo since there is any quite a number of customer which is using JPO and Tempo at the same time."""""""
JAVA,JAVA-2414,Task,5,+2:authentication; +1:database,KEEP,,"""Can not catch  com.mongodb.MongoCommandException: Command failed with error 18: 'Authentication failed.'""","""""""I have a test about authenticate by mongo-java-driver-3.4.0.jar as below    {code:java}  try{          ServerAddress sa = new ServerAddress(""""""""192.168.126.63"""""""", 27017);          String db = """"""""admin"""""""";          MongoCredential mc = MongoCredential.createCredential(""""""""sunny"""""""", db, """"""""s1234"""""""".toCharArray());          List<MongoCredential> mcs = new ArrayList<MongoCredential>();          mcs.add(mc);          MongoClientOptions.Builder builder = MongoClientOptions.builder();         "
MDL,MDL-57476,New Feature,5,+1:api; +1:plugin,KEEP,,"""Hooks into the file API""","""""""We are building out a feature that we will eventually open source as a plugin, but it currently requires a patch into core Moodle.  The patch is specifically around file deletion, EG: the plugin needs to know when any file has been deleted.    Specifically, we had to patch \stored_file.delete method.    We are hoping that we could get something into core that would be general purpose and likely have larger scope, EG: hooks for file updates, creates, etc.    Unsure if these would be events or "
JRACLOUD,JRACLOUD-63573,Suggestion,5,+3:oauth,KEEP,,"""Option to Renew/Extend the expiry of OAuth Token""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-63573].   {panel}  h3. Problem Solution: If we refer to the documentation below, the token will expire in 7 days after generated: - https://confluence.atlassian.com/display/JIRASOFTWARESERVER072/Allowing+OAuth+access  With a note whether the token expiry is still the same as in the documentation.  h3. Suggested Solution: To h"
MDL,MDL-57439,Task,5,+2:new api; +1:api,KEEP,,"""Design TODO API""","""""""This will allow us to create follow-up issues when developing the new API.    # List of classes.  # List of functions and what they do."""""""
CONFCLOUD,CONFCLOUD-45594,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Allow License info to be available via REST""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.<USER>browse/CONFSERVER-45594].   {panel}  There seems not to be a way to retrieve license info in Confluence via REST.  It should be added as a REST api end-point  JIRA and Bitbucket (as well UPM provide this end-point today)  I have found three different (private) end-points in Confluence:  * license/1.0/license/maxUsers  * license/1.0/license"
MDL,MDL-57407,Improvement,5,+1:api; +1:database; +1:service,KEEP,,"""Return rating information in database, forum and glossary Web Services""","""""""Right now we are not displaying the ratings in the Mobile app for:  * forum posts  * glossary entries  * database records    The main reason is because the Web Services returning those elements are not processing the ratings.    We should create a external structure definition and an API function in the rating lib to be able to return the rating information, including:  * The current rating of the element  * The required information for using the Web Service for rating elements  * Whether the"
EVG,EVG-1377,New Feature,5,+1:api; +1:service,KEEP,,"""Cache cost data in host documents""","""""""It would be nice to track cost info in host records, similar to the work in EVG-1170 to add cost info to tasks.    I can do this offline after the fact for analysis, but Amazon's data only goes back 90 days and the spot instance price history API is really slow.    This will make it easier to do things like compare host costs to hypothetical costs for other service providers or types of instances at AWS.    Ideally we could have the hourly price recorded in addition to the """"""""actual"""""""" cost"
MDL,MDL-57397,Epic,5,+1:api; +1:module,KEEP,,"""Add Web Services  to the lesson module including the required API refactoring""","""""""Add Web Services  to the lesson module including the required API refactoring    Spec: https://docs.google.com/document/d/1Hw3oIH1z5aF7-5NWhuq-1U28kGVZprQ51KtDU5u-6Oc/edit#"""""""
JRACLOUD,JRACLOUD-63496,Suggestion,5,+2:rest api; +1:api,KEEP,,"""JIRA Public REST API to Get user details to include the groups, application, and project roles.""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-63496].   {panel}  h3. Problem Definition: At the moment, this is the information that we could get by running {{rest/api/2/user?username=<>}} REST API towards JIRA:  While it mentions how many Groups and Application it is in, it does not list out the details of it. In addition, while we could see Project Roles from the UI, i"
JRACLOUD,JRACLOUD-63493,Suggestion,5,+2:rest api; +1:api,KEEP,,"""API to register remote application for JIRA user server""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-63493].   {panel}  h3. Problem Definition There is currently no way to automatically add an application e.g. Confluence to use JIRA as a user server.  h3. Suggested Solution Provide a REST API end point for this.  h3. Why this is important This is useful when using automated tasks or scripts to set up Atlassian Applications w"
MDL,MDL-57322,Improvement,5,+1:api; +1:database; +1:service,KEEP,,"""Hide/Show rating in active user learning plan""","""""""Like hiding grades in course or assignment, it would be useful if having this feature for active user learning plan.  The idea is to hide/show rating at 2 levels:  * learning plan (hide/show rating in the user's learning plan)  * learning plan template (hide/show rating in all learning plans based on this template)    The check of hide/show config will be applied only for active plans.    Here a solution, it would be great if we can have some feedbacks.    h1. Solution    h2. Diagram    Here "
CONFCLOUD,CONFCLOUD-60943,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Context parameter """"content.id"""" doesn't return the same content ID when viewing an older version of the page""","""""""Currently I'm showing a web item on <USER>pages and use the content.id to request information back from the Confluence Cloud REST API. When viewing a prior version of the page it returns a different ID that returns a 404 from the REST api.  Need access to the latest version content ID and status so I can request back information about the <USER>page."""""""
CONFCLOUD,CONFCLOUD-45394,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Post links with Confluence markdown using RESTful API""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.<USER>browse/CONFSERVER-45394].   {panel}  I would like to post links with [Confluence storage format markdown|https://<USER><USER>doc/<USER>storage-format-790796544.html] using Confluence REST API. However, the """"""""<!CDATA[\{markdown}]]>"""""""" element is removed after the post. Perhaps this is an intended action as discussed [here|https://answers"
JSWCLOUD,JSWCLOUD-15254,Suggestion,5,+2:connector; +1:plugin,KEEP,,"""Indicate queue size for synchronisation tasks""","""""""h3. Problem Definition  If an admin synchronises dozens of repositories at a time, the messages table can fill up with hundreds of, if not thousands of entries for processing commits from a repository.  At the moment, whether the system is actively processing any repository information is a bit of a black box. h3. Suggested Solution  It would be great if the UI could inform the admin on the amount of work the DVCS connector is processing. This would help both admins and Atlassian Support tria"
JSWSERVER,JSWSERVER-15254,Suggestion,5,+2:connector; +1:plugin,KEEP,,"""Indicate queue size for synchronisation tasks""","""""""h3. Problem Definition    If an admin synchronises dozens of repositories at a time, the messages table can fill up with hundreds of, if not thousands of entries for processing commits from a repository.    At the moment, whether the system is actively processing any repository information is a bit of a black box.  h3. Suggested Solution    It would be great if the UI could inform the admin on the amount of work the DVCS connector is processing. This would help both admins and Atlassian <USER"
JSWCLOUD,JSWCLOUD-15224,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Update title and intro of JSW REST API docs to better distinguish between Cloud and Server""","""""""Change the title of the JIRA Software REST API docs so that they specifically mention Cloud or Server:  [https://docs.atlassian.com/<USER>software/REST/cloud/]  [https://docs.atlassian.com/<USER>software/REST/server/]  Also,  * update the intro to provide links between cloud and server docs,  * for server doc, provide links to older versions    """""""
JSWSERVER,JSWSERVER-15224,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Update title and intro of JSW REST API docs to better distinguish between Cloud and Server""","""""""Change the title of the JIRA Software REST API docs so that they specifically mention Cloud or Server:    [https://docs.atlassian.com/<USER>software/REST/cloud/]    [https://docs.atlassian.com/<USER>software/REST/server/]    Also,   * update the intro to provide links between cloud and server docs,   * for server doc, provide links to older versions      """""""
CONFCLOUD,CONFCLOUD-60652,Suggestion,5,+2:migration; +1:plugin,KEEP,,"""Remove Gliffy Migration plugin and install connect add-on AFTER instance migrated""","""""""This is the final story for migration.  After all custom data has been ported to cloud.  Instance is ready to uninstall p2 and install connect."""""""
CONFCLOUD,CONFCLOUD-60852,Suggestion,5,+2:migration; +1:plugin,KEEP,,"""Install Gliffy migration plugin on 1150 instances""",
CONFCLOUD,CONFCLOUD-45299,Suggestion,5,+2:rest api; +1:api,KEEP,,"""REST API for extracting Space Admin username""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.<USER>browse/CONFSERVER-45299].   {panel}  As of now we don't have a function in our REST API document that will help to retrieve this data. It would be great if we can have this."""""""
CONFCLOUD,CONFCLOUD-45252,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Add REST API for updating/editing shared drafts.""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *Confluence Cloud*. Using *Confluence Server*? [See the corresponding suggestion|http://jira.<USER>browse/CONFSERVER-45252].   {panel}  There are REST APIs for creating and publishing shared drafts, but not for editing shared draft. Would be nice to have also REST API for updating/editing shared drafts without publishing."""""""
JRACLOUD,JRACLOUD-63173,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Add user REST API removal to Cloud What's New notes""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-63173].   {panel}  Some user management REST APIs in JIRA were removed by the Identity team in the beginning of November. They were documented in a KB here: https://confluence.atlassian.com/jirakb/user-management-rest-api-changes-in-<USER>cloud-858756548.html  But they should probably be in the Cloud release notes."""""""
JSWCLOUD,JSWCLOUD-15182,Suggestion,5,+2:integration; +1:service,KEEP,,"""Jira/Github integration - deleted commits still show""","""""""Hello,  this is a feature request, as a spinoff of closed service desk issue:  [https://support.atlassian.com/servicedesk/customer/portal/23/JST-227786]  We are integrating Github with JIRA cloud. As we follow the Git Flow development model, we find ourselves rebasing our feature branches on the `develop` branch daily. The obsolete (and unreachable) commits still show on the Git integration section on the issue. This is confusing, especially if the number of commits is large, and if the numbe"
JSWSERVER,JSWSERVER-15182,Suggestion,5,+2:integration; +1:service,KEEP,,"""Jira/Github integration - deleted commits still show""","""""""Hello,    this is a feature request, as a spinoff of closed service desk issue:    [https://support.atlassian.com/servicedesk/customer/portal/23/JST-227786]    We are integrating Github with JIRA cloud. As we follow the Git Flow development model, we find ourselves rebasing our feature branches on the `develop` branch daily. The obsolete (and unreachable) commits still show on the Git integration section on the issue. This is confusing, especially if the number of commits is large, and if the"
JRACLOUD,JRACLOUD-63089,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Add """"property"""" parameter to JIRA Server REST API GET /rest/api/2/user/search""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-63089].   {panel}  h3. Description  Currently the """"""""property"""""""" parameter is not available in the JIRA server API for """"""""GET /rest/api/2/user/search""""""""  * This same parameter is available in the [Cloud API |https://docs.atlassian.com/<USER>REST/1000.400.0/#api/2/user-findUsers] as far back as version 1000.400.0.  h3. Sug"
JAVA,JAVA-2375,New Feature,5,+2:authentication,KEEP,,"""Make username optional for MONGODB-X509 authentication mechanism""","""""""MongoDB 3.4 will automatically extract the username from the provided certificate, so there is no need to provide it anymore.    See the recent update to the authentication specification: https://github.com/mongodb/specifications/commit/964a8aa571040208bd5e5443241b3bb628fb535f"""""""
EVG,EVG-1280,New Feature,5,+1:api; +1:plugin,KEEP,,"""add a function to the json plugin that wraps http requests to api endpoints in json plugin""","""""""This is so that the plugin backend can directly access the JSON collection, rather than having to make a call from the client. """""""
JRACLOUD,JRACLOUD-62967,Suggestion,5,+2:rest api; +1:api,KEEP,,"""Improve links between server and cloud versions of JIRA REST API Reference""","""""""{panel:bgColor=#e7f4fa}   *NOTE:* This suggestion is for *JIRA Cloud*. Using *JIRA Server*? [See the corresponding suggestion|http://<USER>atlassian.com/browse/JRASERVER-62967].   {panel}  *Use Case / Description of Problem*   As a JIRA Server user, I search using Google for the """"""""JIRA API"""""""" I encounter the Cloud documentation.  [https://docs.atlassian.com/<USER>REST/cloud/]  This page does not include an easy way to switch to the Server documentation.  * There is only one mention, """"""""Fo"
