id,issue_key,project,issue_type,summary,description,status,priority,created,updated,text,comments,predicted_label,label_name,confidence
385649,MULE-13729,MULE,Bug,"""Collection Aggregator does not honor the arrival order""","""""""This issue occurs since arrival order is being saved as an invocation property which causes that the arrivalOrder is always overrode by the last value in all the messages to aggregate (because all they have the same reference to the flow var list).    A good solution is to replace the current logic, saving the arrivalOrder in an object that wraps the muleEvent.""""""",Resolved,To be reviewed,2017-10-06 00:31:54,2018-10-05 23:13:12,"""Collection Aggregator does not honor the arrival order"" [SEP] """"""This issue occurs since arrival order is being saved as an invocation property which causes that the arrivalOrder is always overrode by the last value in all the messages to aggregate (because all they have the same reference to the flow var list).    A good solution is to replace the current logic, saving the arrivalOrder in an object that wraps the muleEvent.""""""","""This issue had to be fixed in 3.x, but in 4.x wasn't necessary since the implementation of flow vars changed and the issue can not be reproduced. Anyway, a test case was added to verify the expected behavior.    Note: in 3.x, a MuleEvent can be created from other MuleEvent and they both can share the same flow vars (referencing to the same list). In Mule 4, it doesn't happen since when a Event is created from other Event, each flow var is copied individually instead referencing the same list.""",,,
385650,MULE-13728,MULE,Task,"""Update spring schemas to 3.10""","""""""colored text{color}Update spring schemas to 3.10    """"""",New,Blocker,2017-10-05 23:45:50,2018-03-27 15:08:26,"""Update spring schemas to 3.10"" [SEP] """"""colored text{color}Update spring schemas to 3.10    """"""",,,,
385651,MULE-13727,MULE,Task,"""Update spring schemas to 3.9""","""""""Update spring schemas to 3.9  """"""",Done,Major,2017-10-05 23:43:10,2017-10-09 15:12:29,"""Update spring schemas to 3.9"" [SEP] """"""Update spring schemas to 3.9  """"""",,,,
385652,MULE-13725,MULE,Bug,"""No way to limit VM Listener message consumption""","""""""VM Listener consumers are consuming messages from the queue right after dispatching the message to the flow. This causes that if I have maxConcurrency=""""""""1"""""""" in the flow and numberOfConsumers=""""""""1"""""""" in the listener, the listener will still consume messages from the queue and fail when dispatching the message to the flow with an OVERLOAD error type.    I should have a way to consume messages one by one without losing them.    There are a couple of system tests ignored because of this.""""""",Closed,Major,2017-10-05 19:18:17,2017-10-12 19:49:27,"""No way to limit VM Listener message consumption"" [SEP] """"""VM Listener consumers are consuming messages from the queue right after dispatching the message to the flow. This causes that if I have maxConcurrency=""""""""1"""""""" in the flow and numberOfConsumers=""""""""1"""""""" in the listener, the listener will still consume messages from the queue and fail when dispatching the message to the flow with an OVERLOAD error type.    I should have a way to consume messages one by one without losing them.    There are a couple of system tests ignored because of this.""""""","""After fixing, ensure to unignore {{ApplicationPatchRedeployTestCase}} and {{ApplicationStateRedeployTestCase}}""",,,
385653,MULE-13723,MULE,Bug,"""Support out-of-browser applications in OAuth module redirect url""","""""""In case an out of browser redirection, avoid creating the http listener.""""""",Closed,Critical,2017-10-05 17:20:02,2018-10-05 23:10:48,"""Support out-of-browser applications in OAuth module redirect url"" [SEP] """"""In case an out of browser redirection, avoid creating the http listener.""""""",,,,
385654,MULE-13722,MULE,Bug,"""Modify the logging level for SftpClient""","""""""Currently, the logging level for the [SFTP client class|https://github.com/mulesoft/mule/blob/mule-3.8.4/transports/sftp/src/main/java/org/mule/transport/sftp/SftpClient.java%C2%A0] when it scans a folder is set as WARN when it should be INFO or DEBUG.    The fact that it's WARN raises a false alarm with users.  """"""",Open,Critical,2017-10-05 16:47:49,2017-10-05 16:48:53,"""Modify the logging level for SftpClient"" [SEP] """"""Currently, the logging level for the [SFTP client class|https://github.com/mulesoft/mule/blob/mule-3.8.4/transports/sftp/src/main/java/org/mule/transport/sftp/SftpClient.java%C2%A0] when it scans a folder is set as WARN when it should be INFO or DEBUG.    The fact that it's WARN raises a false alarm with users.  """"""",,,,
385655,MULE-13721,MULE,Bug,"""MULE_REPLYTO_STOP not working when JMS is acting as an outbound connector""","""""""MULE_REPLYTO_STOP not working when JMS is acting as an outbound connector""""""",In Progress,To be reviewed,2017-10-05 16:07:40,2018-10-05 23:12:49,"""MULE_REPLYTO_STOP not working when JMS is acting as an outbound connector"" [SEP] """"""MULE_REPLYTO_STOP not working when JMS is acting as an outbound connector""""""",,,,
385656,MULE-13720,MULE,Bug,"""WSC value providers should use the same mechanism as the runtime to parse de wsdl""","""""""WSC value providers should use the same mechanism as the runtime to parse de wsdl""""""",Closed,Blocker,2017-10-05 15:31:19,2017-10-17 16:05:02,"""WSC value providers should use the same mechanism as the runtime to parse de wsdl"" [SEP] """"""WSC value providers should use the same mechanism as the runtime to parse de wsdl""""""",,,,
385657,MULE-13719,MULE,Bug,"""Fix mule-extensions-maven-plugin build errors""","""""""mule-extensions-maven-plugin build ends with some errors""""""",Closed,To be reviewed,2017-10-05 12:50:29,2017-10-09 15:36:32,"""Fix mule-extensions-maven-plugin build errors"" [SEP] """"""mule-extensions-maven-plugin build ends with some errors""""""","""Fixed by MULE-13733""",,,
385658,MULE-13718,MULE,Bug,"""ClusterCoreExtension is not being loaded as a domain deployment listeners""","""""""This issue was found out since domain vm connectors aren't being clustered as expected.  ClusterCoreExtension is only loaded as an applicationDeploymentListener and thus only vm connectors defined at application level are being clustered.  In order to fix this issue we should add an ArtifactDeploymentListener for deployment events from all mule artifacts (app and domains) since DeploymentListener only notifies application deployment events.""""""",Resolved,To be reviewed,2017-10-05 12:39:43,2019-06-24 20:07:17,"""ClusterCoreExtension is not being loaded as a domain deployment listeners"" [SEP] """"""This issue was found out since domain vm connectors aren't being clustered as expected.  ClusterCoreExtension is only loaded as an applicationDeploymentListener and thus only vm connectors defined at application level are being clustered.  In order to fix this issue we should add an ArtifactDeploymentListener for deployment events from all mule artifacts (app and domains) since DeploymentListener only notifies application deployment events.""""""",,,,
385659,MULE-13716,MULE,Enhancement Request,"""As a Support Engineer i want to be able to see all the system properties values configured on mule engine""","""""""As a Support Engineer i want to be able to see all the system properties values configured on mule engine.    it will be nice to have a place/way to see al the system properties and the values for the mule engine (enterprise or community) so it can help for troubleshooting.""""""",Open,To be reviewed,2017-10-05 01:46:17,2017-11-07 20:22:58,"""As a Support Engineer i want to be able to see all the system properties values configured on mule engine"" [SEP] """"""As a Support Engineer i want to be able to see all the system properties values configured on mule engine.    it will be nice to have a place/way to see al the system properties and the values for the mule engine (enterprise or community) so it can help for troubleshooting.""""""",,,,
385660,MULE-13715,MULE,Bug,"""Logger component does not support parse in DW""","""""""Logger component does not support parse in DW""""""",Closed,To be reviewed,2017-10-04 22:03:20,2017-10-18 17:01:42,"""Logger component does not support parse in DW"" [SEP] """"""Logger component does not support parse in DW""""""","""Duplicated by MULE-13783""",,,
385661,MULE-13714,MULE,Bug,"""XMLSerializer not available in IBM JDK""","""""""We are using Sun XMLSerializer and OutputFormat classes which are not available on IBM JDK.    Change usages to the ones provided in our Xerces fork.""""""",Closed,To be reviewed,2017-10-04 20:17:25,2017-10-10 23:03:43,"""XMLSerializer not available in IBM JDK"" [SEP] """"""We are using Sun XMLSerializer and OutputFormat classes which are not available on IBM JDK.    Change usages to the ones provided in our Xerces fork.""""""",,,,
385662,MULE-13713,MULE,Bug,"""ExtensionDeclarer wrongly assumes it needs reconnection element in smart connectors""","""""""There are scenarios where Smart Connectors generate ExtensionModels which have a reconnection child element to be configured, which is wrong. (see https://www.mulesoft.org/jira/browse/RESTC-248 for reference).    There's some rules under the declarer where decides that a <reconnection> child element is allowed, but that's not the case when talking about Smart Connectors, as allowing the user configure reconnection is totally misleading. One of the premises of a smart connector is that you decide which attributes should be exposed to the end user, and by doing so you could expose the reconnection attributes of some global element (or not).    To give an example of why this is wrong, asume there's a smart connector that handles two global elements: HTTP and File. Both global elements have been *entirely* configured in the Smart Connector code with hardcoded values (none of those configurations will be exposed through properties), which implies the end user *must not seen the reconnection* tab.""""""",Resolved,Critical,2017-10-04 20:04:49,2018-10-03 15:53:26,"""ExtensionDeclarer wrongly assumes it needs reconnection element in smart connectors"" [SEP] """"""There are scenarios where Smart Connectors generate ExtensionModels which have a reconnection child element to be configured, which is wrong. (see https://www.mulesoft.org/jira/browse/RESTC-248 for reference).    There's some rules under the declarer where decides that a <reconnection> child element is allowed, but that's not the case when talking about Smart Connectors, as allowing the user configure reconnection is totally misleading. One of the premises of a smart connector is that you decide which attributes should be exposed to the end user, and by doing so you could expose the reconnection attributes of some global element (or not).    To give an example of why this is wrong, asume there's a smart connector that handles two global elements: HTTP and File. Both global elements have been *entirely* configured in the Smart Connector code with hardcoded values (none of those configurations will be exposed through properties), which implies the end user *must not seen the reconnection* tab.""""""",,,,
385663,MULE-13712,MULE,Bug,"""ValueProviders fails to resolve values for Operations with required parameters""","""""""*ValueProviders fails to resolve values for Operations with required parameters*    * When executing in lazy mode, operations that don't require Configuration or Connection and requires de injection of a parameter inside the operation will fail because the associated `ResolverSet` was never initialized.""""""",Closed,Blocker,2017-10-04 19:46:57,2017-10-17 20:19:41,"""ValueProviders fails to resolve values for Operations with required parameters"" [SEP] """"""*ValueProviders fails to resolve values for Operations with required parameters*    * When executing in lazy mode, operations that don't require Configuration or Connection and requires de injection of a parameter inside the operation will fail because the associated `ResolverSet` was never initialized.""""""",,,,
385664,MULE-13711,MULE,Bug,"""JMS Publisher always joins the current TX, if one exists, regardless the chosen transactional Action""","""""""JMS Publisher always joins the current TX, if one exists, regardless the chosen transactional Action""""""",Closed,Critical,2017-10-04 19:42:26,2017-10-12 19:20:55,"""JMS Publisher always joins the current TX, if one exists, regardless the chosen transactional Action"" [SEP] """"""JMS Publisher always joins the current TX, if one exists, regardless the chosen transactional Action""""""",,,,
385665,MULE-13710,MULE,Task,"""Flaky Test in Domain Deployment""","""""""Flaky Test in Domain Deployment     DomainDeploymentTestCase.deployDomainWithDeploymentProperties""""""",In Progress,To be reviewed,2017-10-04 18:21:58,2018-09-12 14:46:47,"""Flaky Test in Domain Deployment"" [SEP] """"""Flaky Test in Domain Deployment     DomainDeploymentTestCase.deployDomainWithDeploymentProperties""""""",,,,
385666,MULE-13708,MULE,Bug,"""IBM JDK overrides Xerces packages with their own classes""","""""""IBM JDK uses its own version of Apache Xerces with the same class name as Mule Xerces fork.    This causes JDK shipped classes to take precedence and compilation fails.    This affects the metadata-model-api module.""""""",Resolved,Blocker,2017-10-03 22:44:20,2018-10-03 15:43:20,"""IBM JDK overrides Xerces packages with their own classes"" [SEP] """"""IBM JDK uses its own version of Apache Xerces with the same class name as Mule Xerces fork.    This causes JDK shipped classes to take precedence and compilation fails.    This affects the metadata-model-api module.""""""",,,,
385667,MULE-13707,MULE,Bug,"""DW validation should check types""","""""""DW script does not check types of used identifiers no longer and it is only doing syntax validations.    For example, the following script should result in an error as the function used is receiving too many parameters:  """"""",Resolved,Critical,2017-10-03 22:05:17,2018-10-03 16:07:44,"""DW validation should check types"" [SEP] """"""DW script does not check types of used identifiers no longer and it is only doing syntax validations.    For example, the following script should result in an error as the function used is receiving too many parameters:  """"""",,,,
385668,MULE-13705,MULE,Bug,"""Db Config not found through Lazy Initialization when flow-ref to subflow present""","""""""Having the following case:        This is causing the following error while initializing the application    {{Caused by: org.springframework.beans.factory.BeanCreationException: Error creating bean with name '(inner bean)#619b95a3': Cannot resolve reference to bean 'dbConfig' while setting bean property 'configurationProvider'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No bean named 'dbConfig' is defined}}    The bug seems to be during the MinimalApplicationModelGenerator when performing the method   findComponentModelsDependencies. This method is never called on the subflow so the dbConfig is never enabled.""""""",Resolved,Major,2017-10-03 20:53:07,2018-10-03 15:43:21,"""Db Config not found through Lazy Initialization when flow-ref to subflow present"" [SEP] """"""Having the following case:        This is causing the following error while initializing the application    {{Caused by: org.springframework.beans.factory.BeanCreationException: Error creating bean with name '(inner bean)#619b95a3': Cannot resolve reference to bean 'dbConfig' while setting bean property 'configurationProvider'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No bean named 'dbConfig' is defined}}    The bug seems to be during the MinimalApplicationModelGenerator when performing the method   findComponentModelsDependencies. This method is never called on the subflow so the dbConfig is never enabled.""""""","""Test that reproduce this has been added to mule-integration-tests as part of MULE-13668""",,,
385669,MULE-13704,MULE,Bug,"""JMS Listener never begins transactions""","""""""JMS Listener never begins transactions""""""",Closed,Blocker,2017-10-03 20:15:06,2017-10-12 19:21:14,"""JMS Listener never begins transactions"" [SEP] """"""JMS Listener never begins transactions""""""",,,,
385670,MULE-13703,MULE,Bug,"""ExtensionModelJsonSerializer is removing errorModels for Mule Core ExtensionModel""","""""""When serializing and deserializing Mule Core extensionModel the errors are not persisted.   ExtensionModel object has:    But the json output only has one and empty array in all the errors fields:    Even if the same json serialized is deserialzed the ExtensionModel instance has no errors (assuming that at least the whole hierarchy should be dynamically generated). """"""",Closed,Critical,2017-10-03 18:37:47,2017-11-07 20:22:48,"""ExtensionModelJsonSerializer is removing errorModels for Mule Core ExtensionModel"" [SEP] """"""When serializing and deserializing Mule Core extensionModel the errors are not persisted.   ExtensionModel object has:    But the json output only has one and empty array in all the errors fields:    Even if the same json serialized is deserialzed the ExtensionModel instance has no errors (assuming that at least the whole hierarchy should be dynamically generated). """"""","""Proposed solution is to keep the MULE error model hierarchy on the serialization output (always)."" [SEP] ""In addition to this issue there following code should be changed too on *ErrorModelSerializerDelegate#getErrors(JsonArray)*  """,,,
385671,MULE-13702,MULE,Task,"""Fix flaky tests that uses test maven artifacts""","""""""Tests like ApplicationDescriptorFactoryTestCase and  DomainDescriptorFactoryTestCase use Mule artifacts that depend on connectors that are not part of the project Maven's reactor. (ex: HTTP and Sockets connectors)    This causes that those tests to be flaky, as those dependencies are not always on the Maven repo used to build the project and aether is not able to download them for some reason.    Besides that problem, Mule CE must not depend on any connector to avoid implicit cyclic dependencies and building against out of data versions""""""",Done,Major,2017-10-03 16:13:25,2018-09-12 14:46:32,"""Fix flaky tests that uses test maven artifacts"" [SEP] """"""Tests like ApplicationDescriptorFactoryTestCase and  DomainDescriptorFactoryTestCase use Mule artifacts that depend on connectors that are not part of the project Maven's reactor. (ex: HTTP and Sockets connectors)    This causes that those tests to be flaky, as those dependencies are not always on the Maven repo used to build the project and aether is not able to download them for some reason.    Besides that problem, Mule CE must not depend on any connector to avoid implicit cyclic dependencies and building against out of data versions""""""",,,,
385672,MULE-13701,MULE,Enhancement Request,"""Add a way to patch partially Mule 4 services""","""""""Like in Mule 3.x plugins, it would be useful to be able to provide partial patches for services like DataWeave. Currently this forces to provide full patch replacements for services, making it very complex to handle and tracking multiple fixes in the same installation.    It could be implemented as a new directory that takes precedence in the classloader, like lib/user for provided libraries.""""""",Resolved,Major,2017-10-03 15:59:13,2018-10-03 16:26:03,"""Add a way to patch partially Mule 4 services"" [SEP] """"""Like in Mule 3.x plugins, it would be useful to be able to provide partial patches for services like DataWeave. Currently this forces to provide full patch replacements for services, making it very complex to handle and tracking multiple fixes in the same installation.    It could be implemented as a new directory that takes precedence in the classloader, like lib/user for provided libraries.""""""",,,,
385673,MULE-13700,MULE,Task,"""Implement flow stack dump - Runtime support""","""""""In Mule 4.x the asynchronous architecture will make using thread dumps for troubleshooting less useful than in Mule 3. Also thread dumps don't capture the application level information about the execution.    A better logical view is to have the runtime dump flow stack information for all flows in execution.    This should in response to an action that can be performed on demand through a command line or JMX action.  """"""",Done,To be reviewed,2017-10-03 15:53:09,2018-09-12 14:50:07,"""Implement flow stack dump - Runtime support"" [SEP] """"""In Mule 4.x the asynchronous architecture will make using thread dumps for troubleshooting less useful than in Mule 3. Also thread dumps don't capture the application level information about the execution.    A better logical view is to have the runtime dump flow stack information for all flows in execution.    This should in response to an action that can be performed on demand through a command line or JMX action.  """"""",,,,
385674,MULE-13699,MULE,Bug,"""Add support for Type Processing To The API""","""""""In order for datasense to be in sync with DW an api with  - Assignability  - Unification  - Type Parameter resolution     Needs to be provided""""""",Closed,To be reviewed,2017-10-03 15:44:34,2017-10-04 15:33:24,"""Add support for Type Processing To The API"" [SEP] """"""In order for datasense to be in sync with DW an api with  - Assignability  - Unification  - Type Parameter resolution     Needs to be provided""""""",,,,
385675,MULE-13698,MULE,Bug,"""PollingReceiverWorker should clean RequestContext after performing poll.""","""""""Currently PollingMessageReceiver is cleaning the RequestContext before performing poll.    However this approach has the drawback which with an large interval the mule event keeps referenced by the request context until the next polling, without able to be recolected by GC.    This is causing memory leaks in scenarios where mule flow traces are enabled and a big number of processors are executed.     We should clean the requestContext after performing the poll instead, for releasing the memory faster.""""""",Resolved,To be reviewed,2017-10-03 14:52:35,2018-10-05 23:12:42,"""PollingReceiverWorker should clean RequestContext after performing poll."" [SEP] """"""Currently PollingMessageReceiver is cleaning the RequestContext before performing poll.    However this approach has the drawback which with an large interval the mule event keeps referenced by the request context until the next polling, without able to be recolected by GC.    This is causing memory leaks in scenarios where mule flow traces are enabled and a big number of processors are executed.     We should clean the requestContext after performing the poll instead, for releasing the memory faster.""""""","""As far as I can see, this is NOT fixed in Mule 3.9.0.    It is fixed in SE-6837-3.8.4.jar, but that did not make it into 3.9.0.    (Checked with the 3.9.0 you can download as enterprise customer.)     """,,,
385676,MULE-13697,MULE,Task,"""S3 schema unavailable""","""""""S3 schema unavailable    [http://www.mulesoft.org/schema/mule/s3/current/mule-s3.xsd]         Getting following error - org.xml.sax.SAXParseException: schema_reference.4: Failed to read schema document 'http://www.mulesoft.org/schema/mule/s3/2.0/mule-s3.xsd'""""""",New,To be reviewed,2017-10-03 14:25:59,2018-09-12 14:43:39,"""S3 schema unavailable"" [SEP] """"""S3 schema unavailable    [http://www.mulesoft.org/schema/mule/s3/current/mule-s3.xsd]         Getting following error - org.xml.sax.SAXParseException: schema_reference.4: Failed to read schema document 'http://www.mulesoft.org/schema/mule/s3/2.0/mule-s3.xsd'""""""","""Hi [~<USER> , please provide an application to reproduce the issue.    Thanks.""",,,
385677,MULE-13696,MULE,Task,"""Update to Agent Version 1.9.0 on Tooling Client""",""""""".""""""",Done,Critical,2017-10-03 13:59:17,2018-09-12 14:41:33,"""Update to Agent Version 1.9.0 on Tooling Client"" [SEP] """""".""""""",,,,
385678,MULE-13695,MULE,Bug,"""Wrong validation of product type in mule-artifact.json files""","""""""When an artifact indicates an invalid required product (like MULE_CE when only MULE and MULE_EE are valid) the error message obtained when the plugin is used is the following:    When it should say something like """"""""MULE_CE is not a valid product""""""""""""""",Resolved,Minor,2017-10-03 12:48:56,2018-10-03 15:43:22,"""Wrong validation of product type in mule-artifact.json files"" [SEP] """"""When an artifact indicates an invalid required product (like MULE_CE when only MULE and MULE_EE are valid) the error message obtained when the plugin is used is the following:    When it should say something like """"""""MULE_CE is not a valid product""""""""""""""",,,,
385679,MULE-13694,MULE,Bug,"""Provide support for fetching all the xsd dependencies from a xsd file""","""""""We should include a new functionality to obtain all the dependencies (import/include) from a XSD file in order to copy all the necessary files when the user uses that kind of files.""""""",Resolved,Critical,2017-10-03 03:23:58,2018-10-03 16:07:45,"""Provide support for fetching all the xsd dependencies from a xsd file"" [SEP] """"""We should include a new functionality to obtain all the dependencies (import/include) from a XSD file in order to copy all the necessary files when the user uses that kind of files.""""""",,,,
385680,MULE-13693,MULE,Task,"""Fix tests in agent due to changes in DeploymentListener""","""""""Fix tests in agent due to changes in DeploymentListener""""""",Done,To be reviewed,2017-10-03 01:20:21,2018-09-12 14:45:16,"""Fix tests in agent due to changes in DeploymentListener"" [SEP] """"""Fix tests in agent due to changes in DeploymentListener""""""",,,,
385681,MULE-13692,MULE,Task,"""Fix test PolicyTemplateDescriptorFactoryTestCase and DefaultApplicationFactoryTestCase""","""""""Fix test PolicyTemplateDescriptorFactoryTestCase and DefaultApplicationFactoryTestCase""""""",Done,To be reviewed,2017-10-03 01:02:51,2018-09-12 14:48:52,"""Fix test PolicyTemplateDescriptorFactoryTestCase and DefaultApplicationFactoryTestCase"" [SEP] """"""Fix test PolicyTemplateDescriptorFactoryTestCase and DefaultApplicationFactoryTestCase""""""",,,,
385682,MULE-13691,MULE,Task,"""Fix Domain Deployment Test""","""""""Fix Domain Deployment Test""""""",Done,To be reviewed,2017-10-02 23:33:52,2018-09-12 14:49:48,"""Fix Domain Deployment Test"" [SEP] """"""Fix Domain Deployment Test""""""","""Already done""",,,
