issue_key,issue_type,score,score_reason,review_action,review_note,summary,description
SERVER-50428,New Feature,7,+2:throttle; +1:interface; +1:database,KEEP,,"""Expose diagnostics to client queries""","""""""Currently, the only way for clients to access query diagnostics is through the {{explain}} command; there's no way to access that information when issuing normal queries. We'd like to introduce a flag to {{find}} (and potentially other query commands) that includes some basic diagnostic information ({{keysExamined}}, {{docsExamined}}, {{hasSortStage}}, and ideally {{planSummary}}) as part of the query response. This enables building smarter clients that have a better understanding of their performance impact.    As an example use case, we'd like background batch job clients to throttle themselves based on the load they generate on the database. In theory we could use number of queries issued or documents returned, but {{keysExamined}}, {{docsExamined}}, and {{hasSortStage}} are a much more precise indicator of the performance impact of queries.    I put together a quick [sketch implementation|https://gist.github.com/evan-stripe/df24064abc5d61d665d0f4daf2cdbe5c] to demonstrate what the interface might look like."""""""
SERVER-49658,Task,7,+3:architecture; +2:migration,KEEP,,"""Architecture Guide Updates for Improve the usability of shard key updates that include document migration""","""""""Please investigate if this project requires changes to the architecture guide."""""""
SERVER-49586,Task,7,+3:architecture; +2:migration,KEEP,,"""Architecture Guide Updates for Reduce lock scope of migration critical section""","""""""Please investigate if this project requires changes to the architecture guide."""""""
SERVER-49585,Task,7,+3:architecture; +2:migration,KEEP,,"""Architecture Guide Updates for Mirror chunk migration across collections""","""""""Please investigate if this project requires changes to the architecture guide."""""""
SERVER-49483,Task,7,+3:architecture; +2:authorization,KEEP,,"""Architecture Guide updates for Integrate authorization subsytem with Atlas Proxy""","""""""Please investigate if this project requires changes to the architecture guide."""""""
SERVER-49298,New Feature,7,+2:integration; +2:caching,KEEP,,"""Create build system targets for test outcomes""","""""""The build system currently defines targets which execute unit tests. However, these executions are unconditional: the test always runs.    The build system, however, knows whether the test binary is up to date. Under the assumption of deterministic behavior in the tests, it should be the case that if none of the dependencies of a test have changed, then the outcome of that test should not have changed. So we can use the build system's knowledge of the up-to-date-ness of the test binary to avoid re-running tests for which no dependencies have changed. The unit test binaries are a particularly appealing first step for such work.    To implement such a feature we can emit the output of the test to a log file, and the result of the test to a """"""""status"""""""" file, and then add new per-unit-test aliases that depend on these output files. When the alias is run, if the test has not yet been built or run, it will be built and run, with the output and result captured to the file. An immediate request to re-run the test will observe that the outcome files are up to date and not re-run the test. We can then aggregate all of the aliases for test status into one master test execution target. Running that master target will first build and run all of the unit tests. Subsequent runs will be instant, since the targets will be up to date. Later, after a developer makes a code change, re-running the master target will only re-run those unit tests for which the code change would cause them to recompile.    Potentially, we could use this technique in the CI loop to, to even greater advantage. There, the SCons caching can actually cache the results of running unit tests, so we can avoid re-running tests for which we have a cached status. This would mean, for instance, that we could re-use cached test outcomes from the commit before a commit which was subsequently reverted, avoiding the need to run the test binaries at all.    This technique could potentially be extended out to integration and JS tests, but there are challenges. We would first need to teach the build system about all of the JS tests and associated inputs like suite definitions. This would probably require redefining parts of resmoke to be a re-usable library which SCons could invoke to discover these components. We would also need all JS tests to explicitly identify the binaries that they needed to run, so that we could correctly express the dependencies. We would also likely need to write a JS scanner to identify usage of common library code. However, the gains would be huge. A commit which altered only a few JS tests or JS support files could be filtered down to running exactly the subset of tests that were affected. A commit which altered only {{mongos}} could run only those JS tests which actually used {{mongos}}.    This technique cannot be used for tests that are intentionally non-deterministic, like fuzzers.    A PoC of this feature was demonstrated at the dev prod demo day in early May. The PoC code (which still needs a lot of work) is available [here|https://github.com/acmorrow/mongo/tree/tot].  """""""
SERVER-47300,Task,7,+3:architecture; +2:authorization,KEEP,,"""Document Authorization for Identity and Access Management in the Security Architecture Guide""","""""""We should populate the {{Authorization}} section for Identity and Access Management in the Security Architecture Guide.  """""""
SERVER-47299,Task,7,+3:architecture; +2:authentication,KEEP,,"""Document Authentication for Identity and Access Management in the Security Architecture Guide""","""""""We should populate the {{Authentication}} section for Identity and Access Management in the Security Architecture Guide."""""""
SERVER-46996,Task,7,+3:architecture; +2:migration,KEEP,,"""all push/publish_packages tasks should run on small hosts""","""""""With the migration to the new architecture for publishing linux packages, it's safe to move all package publication tasks (push/etc.) to using the smallest possible evergreen hosts (i.e. -smalls.)     Additionally if any of these tasks aren't running on linux x86_64, they probably ought to be. """""""
SERVER-46853,Task,7,+3:architecture; +1:api; +1:service,KEEP,,"""OperationContext API should have way to request being killed on stepdown even if a global lock has not been taken""","""""""Right now, sharding has been working around this issue by acquiring and immediately releasing a global IX lock, see example [here|https://github.com/mongodb/mongo/blob/ffd57e8bc049d4d188e667fa4d6c9f956b91ee0b/src/mongo/db/s/range_deletion_util.cpp#L246-L253].    Assigning to the sharding backlog for now, but it might make sense to be owned by Service Architecture or Replication."""""""
SERVER-46767,New Feature,7,+2:public api; +1:api; +1:service,KEEP,,"""Provide a mapping from OperationKey to CursorID""","""""""We introduced OperationKeys as part of SERVER-44167, which allows a user to provide a GUID in any command which it can later be killed by via the killOperations command.    We'd like to extend that functionality to also kill cursors created by that OperationKey, and would like to see if we can tag those UUIDs onto cursors and provide an accessor which gives a list of cursor ids for a given list operation keys (because we bulk kill operations).    Ideally I'd want something like:    {code:cpp}  std::vector<CursorId> getCursorIdsForOperationKeys(std::vector<OperationKey>)  {code}    as a method on the cursor manager.  That way I could write an external service to lookup those ids and kill them through the public api.    Optionally, I'd also be happy to consider a killCursor method which took a vector of OperationKeys"""""""
SERVER-45613,New Feature,7,+3:distributed; +1:protocol,KEEP,,"""TLA+ Trace Checker paper: """"Model-based testing"""" section with solution and analysis""","""""""From """"""""How to Write a Technical Paper: Structure and Style of the Epitome of your Research"""""""":  {quote}  Solution    You should begin this section by providing an overview of  your solution. Give a good explanation of its rationale,  concepts and mechanisms. If your solution relies on a  theorem or some other undocumented concept, make sure  that you explain them before you carry on to the detailed  description.  The main part of this section is the thorough description of the solution and its functionality. The description  should not contain arguments on correctness or design decision debates; simply, describe the mechanisms of your  solution and avoid explanations of the """"""""why so"""""""" type.  Dedicate a separate paragraph or two on the latter, if  you deem necessary.  Disassemble your solution to its functional components  and explain them separately. For example, if you describe  a distributed algorithm, explain the protocol-specific part  (message format, etc.) separately from the semantics and  decision-making part of the algorithm.  It is both important and useful to provide figures  demonstrating the functionality of your solution. Make  the figures look similar to the system model figure, if applicable, and exploit the similarities and differences to  point out important aspects of your solution.    Analysis    Analysis can be of two types: qualitative and quantitative.  The former means to show some properties (qualities)  of your solution, while the latter means to show some  performance aspects of your solution.  Qualitative analysis is usually proof of correctness,  however it could be proof that the solution possesses some  desired property. For algorithms or protocols, a proof of  correctness is always welcome.  Quantitative analysis is mostly performance analysis.  It is important to explain what performance metric you  use and why you have selected the specific metric. Choosing a metric that has been widely used will make the  comparison to other solutions easier.    Let's include any numbers we can measure: number of test runs, computing hours spent testing, number of states encountered and what percentage of the theoretical state space that is, lines of spec code, lines of implementation code in MongoDB.  {quote}"""""""
SERVER-44510,New Feature,7,+3:service layer; +1:service,KEEP,,"""Service layer / command changes to implement exhaust isMaster""","""""""See design for details. We do not need to ensure that if the server detects a client disconnect while waiting to send a reply, the server cleans up connection resources, since that will be done in SERVER-44523. Leave exhaust cursors as a special case to be refactored later.    Log at log level 3 whether exhaust is used."""""""
SERVER-43604,New Feature,7,+3:distributed; +1:database,KEEP,,"""Submit TLA+ Trace Checker paper to journals/conferences""","""""""Select journals and conferences to submit the paper to, and submit it.    ABZ formal methods conference in Ulm Germany May 25-29, 2020   [https://abz2020.uni-ulm.de/important-dates]  {quote}Case Study Track   Abstract submission: November 29, 2019   Paper submission: December 06, 2019   Notification: January 13, 2020   Final version: March 02, 2020    Main Track   Abstract submission: January 13, 2020   Paper submission: January 20, 2020 (including research/short/industry papers)   Notification: March 2, 2020   Final version: March 16, 2020    Conference   ABZ 2020 conference: May 25-29, 2020  {quote}       Int'l Conference on Software Engineering (ICSE), May 23-29 2020, Seoul   [https://conf.researchr.org/track/icse-2020/icse-2020-papers#Call-for-Papers   CFP due February 7, 2020|https://conf.researchr.org/track/icse-2020/icse-2020-papers#Call-for-Papers]         ACM Symposium on Principles of Distributed Computing (PODC), August 3-7 Salerno Italy   Due February 17   [https://www.podc.org/podc2020/call-for-papers/   ]    VLDB, Tokyo August 31 to Sept 4, 2020    [https://vldb.org/2019/?formatting-guidelines]   [https://vldb2020.org/submission-guidelines.html]  {quote}PVLDB uses a novel review process designed to promote timely submission, review, and revision of scholarly results. The process will be carried out over 12 submission deadlines during the year preceding the VLDB 2020 conference. The basic cycle will operate as follows:    A Rolling Deadline occurs on the 1st of each month, 5:00 PM Pacific Time (Daylight Savings observed according to US calendar). This deadline is strict and no extensions will be granted. -The first monthly submission deadline for PVLDB Volume 12 is 1 April 2019. The final deadline is 1 March 2020.   For each submission cycle, the CMT site will be open for submissions from the 20th of the previous month. For example, the submissions for February 2020 will be accepted from January 20th onwards.   Initial reviews will usually be available on the 15th of the next month following the submission deadline, and they will include notice of acceptance, rejection, or revision requests.   For revision requests, the reviews will be specific with regard to the expectations from the revision, and only one revision is permitted.   Authors may take up to three months to produce a revised submission. The last three revisions deadlines will be May 15th, June 1st, and July 15th. Note that the June 15th deadline for revisions has been moved to June 1st. June 1, 2020 is the final revision deadline for consideration to present at VLDB 2020; submissions received after this deadline will roll over to VLDB 2021.   The final reviews of revised papers will usually be available by the 15th of the month following the revision submission.   While all attempts will be made to adhere to the schedule mentioned above, authors are advised that reviewing turnaround times may be subject to fluctuations.  {quote}    DBTest, in conjuction with SIGMOD/PODS, June 19, 2020 Portland OR  http://www.dbtest.io/  """"""""Expected 4 to 6 pages including references and appendix""""""""  Due March 6, 2020  Notification April 3, 2020     SEFM 2020: 18th International Conference on Software Engineering and Formal Methods  https://event.cwi.nl/sefm2020/  https://easychair.org/conferences/?conf=sefm2020  Abstract registration deadline April 27, 2020  Submission deadline May 4, 2020    International Conference on Distributed and Event‐based Systems (DEBS), July 13-17 Montréal   Due March 13 (research track), March 20th (industry track)   [https://2020.<USER>org/]    OSDI, Banff, Alberta, Canada November 4-6, 2020   [https://www.usenix.org/conference/osdi20]   Submission Policy: [https://www.usenix.org/conferences/author-resources/submissions-policy]   Abstract registrations due: Tuesday, May 5, 2020, 3:00 pm PDT   Complete paper submissions due: Tuesday, May 12, 2020, 3:00 pm PDT.    Design Automation Conference (DAC) San Francisco July 20-23, 2020   Late Breaking Results Submissions [https://dac.com/late-breaking-results]   A title, abstract (approximately 100 words), and a list of all co-authors must be submitted by March 5, 2020    ACM Symposium on Cloud Computing (SOCC), last year was November in Santa Cruz CA   CFP due June 3?   [https://acmsocc.github.io/2019/index.html]    *For next year*   These CFP date have passed, let's make a TODO to submit here next year if our paper doesn't get accepted anywhere before then.         International Conference on Distributed Computing Systems (ICDCS), July Singapore   [https://icdcs2020.sg/cfp.html]   Due January 6    USENIX Annual Technical Conference (USENIX ATC), July 15-17 Boston   [https://www.usenix.org/conference/atc20/call-for-papers]   Due January 15         <USER>mentions, """"""""This might be a good fit for ASE ([https://2019.ase-conferences.org/) |https://www.google.com/url?q=https://2019.ase-conferences.org/&sa=D&ust=1570041181116000&usg=AFQjCNFmmECXZGvYUe4OYmtRCsHae9pNcw]FWIW I'll be attending in November.""""""""     - Research Papers: May 6 (abstract deadline), May 13 (paper deadline)              IEEE Dependable Systems (DESSERT)    Paper submission: -February 15, 2019- *March 8, 2019*    Notification of paper acceptance: -March 11, 2019- April 5, 2019    Final manuscript: -March 21, 2019- April 21, 2019              NSDI 2021. Here's the current year's site [https://www.usenix.org/conference/nsdi20/call-for-papers]    *Spring deadline:*   * Paper titles and abstracts due: *Tuesday, March 12, 2019, 8:59 pm US PDT*   * Full paper submissions due: *Tuesday, March 19, 2019, 8:59 pm US PDT*   * Notification to authors: *Friday, June 14, 2019*   * Final paper files due: *Tuesday, August 27, 2019*    *Fall deadline:*   * Paper titles and abstracts due: *Thursday, September 12, 2019, 8:59 pm US PDT*   * Full paper submissions due: *Thursday, September 19, 2019, 8:59 pm US PDT*   * Notification to authors: *Friday, December 13, 2019*   * Final paper titles due: *Friday, February 7, 2020*   * Final paper files due: *Wednesday, February 12, 2020*              CIDR 2021. Here's the current year's site [http://cidrdb.org/cidr2020/cfp.html]    *August 25, 2019*: Submission deadline for all contributions    *October 14, 2019*: author notification for all contributions    *December 16, 2019*: camera-ready deadline for all contributions    *January 12-15, 2020*: conference         SIGMOD 2021. Current year: [https://sigmod2020.org/calls_papers_important_dates.shtml]    *_Research track first submission cycle (All Deadlines Are 5:00pm Pacific Time)_*   * *July 9, 2019*: Abstract submission (the submission site will be open starting June 9, 2019)   * *July 16, 2019*: Paper submission   * *September 4-5, 2019*: Author response   * *October 3, 2019*: Notification of accept/revise/reject   * *November 4, 2019*: Revised submission   * *November 25, 2019*: Notification of revision decision    *_Research track second submission cycle (All Deadlines Are 5:00pm Pacific Time)_*   * *October 15, 2019*: Abstract submission   * *October 22, 2019*: Paper submission   * *December 10 - 11, 2019*: Author responses   * *January 17, 2020*: Notification of acceptance/rejection/revision   * *February 19, 2020*: Revised submission   * *March 13, 2020*: Notification of revision decision    *_Industrial track (All deadlines below are 5PM Pacific Time)_*   * *Monday, November 25, 2019* Paper submission   * *Thursday, January 30, 2020* Notification of accept/reject/revision   * *Thursday, February 20, 2020* Revision submission   * *Thursday, February 27, 2020* Final notification of accept/reject   * *Wednesday, March 25, 2020* Camera-ready deadline         Architectural Support for Programming Languages and Operating Systems (ASPLOS)   March in Lausanne, Switzerland   [https://asplos-conference.org/calls/   CFP due August|https://asplos-conference.org/calls/]         EuroSys, April in Heraklion Greece   [https://www.eurosys2020.org/call-for-papers/]    CFP due in November         New England Systems Verification Day at MIT [https://svd.csail.mit.edu/2019/]    Submission by email, September 1st    October 18th         North East Database Day at MIT [https://mitdbg.github.io/nedbday/2019/]    Submission by January 9th (barely before the conference!)    January 24th     """""""
SERVER-43600,New Feature,7,+3:distributed; +1:protocol,KEEP,,"""TLA+ Trace Checker paper: """"Model-based trace-checking"""" section with solution and analysis""","""""""From """"""""How to Write a Technical Paper: Structure and Style of the Epitome of your Research"""""""":  {quote}  Solution    You should begin this section by providing an overview of  your solution. Give a good explanation of its rationale,  concepts and mechanisms. If your solution relies on a  theorem or some other undocumented concept, make sure  that you explain them before you carry on to the detailed  description.  The main part of this section is the thorough description of the solution and its functionality. The description  should not contain arguments on correctness or design decision debates; simply, describe the mechanisms of your  solution and avoid explanations of the “why so” type.  Dedicate a separate paragraph or two on the latter, if  you deem necessary.  Disassemble your solution to its functional components  and explain them separately. For example, if you describe  a distributed algorithm, explain the protocol-specific part  (message format, etc.) separately from the semantics and  decision-making part of the algorithm.  It is both important and useful to provide figures  demonstrating the functionality of your solution. Make  the figures look similar to the system model figure, if applicable, and exploit the similarities and differences to  point out important aspects of your solution.    Analysis    Analysis can be of two types: qualitative and quantitative.  The former means to show some properties (qualities)  of your solution, while the latter means to show some  performance aspects of your solution.  Qualitative analysis is usually proof of correctness,  however it could be proof that the solution possesses some  desired property. For algorithms or protocols, a proof of  correctness is always welcome.  Quantitative analysis is mostly performance analysis.  It is important to explain what performance metric you  use and why you have selected the specific metric. Choosing a metric that has been widely used will make the  comparison to other solutions easier.    Let's include any numbers we can measure: number of test runs, computing hours spent testing, number of states encountered and what percentage of the theoretical state space that is, lines of spec code, lines of implementation code in MongoDB.  {quote}"""""""
SERVER-41737,Task,7,+3:distributed; +2:migration,KEEP,,"""POC: Chunk migration through distributed transactions""","""""""Using transactions for chunk migrations is a very lucrative idea because it gets rid of orphaned documents. However, there is concern that it will not be able to match the speed of regular chunk migration and/or that it would be the cause of a too frequent refreshes.    This ticket is an attempt to implement chunk migration using distributed transactions and to evaluate the feasibility of such as solution."""""""
SERVER-38874,Task,7,+2:migration; +1:api; +1:database; +1:protocol,KEEP,,"""Add ability to observe entering critical section in ShardingMigrationCriticalSection""","""""""h2. Summary  ShardingMigrationCriticalSection used to control access logic during migration.  It currently allows observing when a collection or database leaves critical section.   This change will allow observing entering a critical section and checking if a collection or database is in a critical section to enable follow up improvements in the migration protocol i.e. SERVER-35219    h2. Implementation:  1. add a signal to observe entering the critical section and modify an API to get the signal/      2. add a method to check if the collection / database is in the critical section.      3. set the notification to enter a critical section  set the signal [here| https://github.com/mongodb/mongo/blob/r4.1.6/src/mongo/db/s/sharding_migration_critical_section.cpp#L43]"""""""
SERVER-37193,New Feature,7,+2:authentication; +2:authorization,KEEP,,"""Implement connection pooling for the LDAP servers""","""""""When configured with an external LDAP authentication & authorization, {{mongod}} typically performs three LDAP queries using the separate TCP connections:   # userToDNMapping processing   # to check the provided password   # groups retrieval    The proposed solution is to maintain the connection pool to the external LDAP server and reuse those connections to authenticate the MongoDB clients.    The authentication state of a connection needs to be set back to unauthenticated (using an anonymous bind) before the connection will be returned back to the pool."""""""
SERVER-34885,Improvement,7,+2:rate limit; +2:throttle; +1:database,KEEP,,"""Add ability to throttle or rate limit copyDatabase operation""","""""""It would be good if we could speed limit the copyDatabase operation.  Currently when we do this the mongo database seems to try to do this operation as fast as possible which makes the server unusable for other operations.           We have a multi tenanted setup with hundreds of databases running on the same database server.  This copyDatabase operation essentially brings all customer environments to a standstill.  """""""
SERVER-34296,New Feature,7,+2:rest api; +1:api; +1:endpoint,KEEP,,"""Create Python script to generate resmoke.py YAML suite files running subset of tests with target execution time""","""""""Create a Python script that given (a) the name of an Evergreen task, (b) a list of build variants, and (c) a target execution time, uses Evergreen’s REST API to compute the time taken by recent successful executions of the test and generates resmoke.py YAML suite files running subsets of the tests taking no longer than the target execution time.    * It should be possible to modify [{{buildscripts/test_failures.py}}|https://github.com/mongodb/mongo/blob/r3.7.3/buildscripts/test_failures.py] to report the [duration|https://github.com/evergreen-ci/evergreen/wiki/REST-V1-Usage#retrieve-test-history-for-a-given-task-or-test] of successful executions instead of just the number of their occurrences. Doing so would avoid needing to create another wrapper around the {{/test_history}} Evergreen endpoint.  * The algorithm for determining how to split up a resmoke.py test suite should prefer to generate more resmoke.py YAML suite files that are well under the target execution time than to generate any resmoke.py YAML suite files that are above the target execution time given the historical average of each test's execution time.    The Python script should create multiple resmoke.py YAML suite files in the {{buildscripts/resmokeconfig/suites/}} directory along the lines of the following, with perhaps some additional information written to stdout describing what build variants the new Evergreen tasks should be run against.    {code:yaml|title=sharding_000.yml}  # This file was generated by buildscripts/generate_resmoke_suites.py and manual edits should also be  # made to sharding.yml in order to ensure running the full test suite locally matches the behavior  # of running parts of the test suite in Evergreen. It was generated against commit ...  # with the following options: ...  test_kind: js_test    selector:    # The following tests take approximately    #   17 minutes to run on Enterprise RHEL 6.2    #   23 minutes to run on Linux DEBUG    #   34 minutes to run on Enterprise Windows 2008R2    roots:    - jstests/sharding/aggregation_currentop.js    - jstests/sharding/cleanup_orphaned_auth.js    - jstests/sharding/crash_mongos_against_upgraded_cluster.js    - jstests/sharding/cursor_valid_after_shard_stepdown.js    - jstests/sharding/delete_during_migrate.js    - jstests/sharding/mapReduce_nonSharded.js    - jstests/sharding/migration_id_index.js    - jstests/sharding/migration_ignore_interrupts_3.js    - jstests/sharding/migration_server_status.js    - jstests/sharding/min_optime_recovery_on_successful_move_chunk_commit.js    - jstests/sharding/mongos_query_comment.js    - jstests/sharding/mongos_shard_failure_tolerance.js    - jstests/sharding/movechunk_with_default_paranoia.js    - jstests/sharding/movechunk_with_moveParanoia.js    - jstests/sharding/mr_shard_version.js    - jstests/sharding/read_does_not_create_namespaces.js    - jstests/sharding/shard_aware_init.js    - jstests/sharding/shard_kill_and_pooling.js    - jstests/sharding/tag_auto_split.js    - jstests/sharding/tag_range.js    executor:    config:      shell_options:        nodb: ''        readMode: commands  {code}"""""""
SERVER-30252,New Feature,7,+3:kafka; +1:endpoint,KEEP,,"""Write oplog operations to kafka""","""""""Hi    When insert/update/delete operation is performed, write it not only to the oplog, but also to a kafka endpoint. The shard name and the collection could be used to determine the kafka partition number.    Benefits/Use cases:  * Easily create sharded clusters by a different shard key  * Monitoring & auditing of data  * Apply stream processing on near real time of the data.  * Provide more consistency in the CAP (see replication).    Despite this could be implemented via external scripts, they become complicated due to the fact that would need to  also interact with the config servers (or mongos commands, not sure if all the info is available). To detect new nodes in the cluster, also scaling the script/monitor software can become a difficult task while implemented on the mongod process seems simple.  Questions would be what to do if the Kafka cluster is unavailable, maybe configurable behaviour choice would be good. Despite adding a dependency with an external system as Kafka I think it adds significant benefits.     Potentially it even could be used to replicate the DBs instead of the oplog, and in the event of the failure of the primary, secondaries would be configured to process the pending oplog messages in kafka before actually marking the mongod instance as online.As kafka is replicated and HA,if the operation made it in the primary we can be sure it can make it to the secondaries. At the end, kafka is a write ahead log, same as oplog.     JL     """""""
SERVER-28782,New Feature,7,+1:interface; +1:module; +1:api; +1:endpoint,KEEP,,"""Write Python script to compute test failures rates from Evergreen API""","""""""A {{/projects/\{project_id\}/test_history}} API endpoint was added as part of EVG-1378 that returns information about test failures from Evergreen task failures. This endpoint should be used to retrieve per-test execution information of Evergreen tasks that have run in the last 4 weeks. A possible command line interface for this script may look like the following:        where the output of the script is the per-day failure rate or the per-week failure rate for each (test name, task name, build variant, distro) combination. In addition to outputting, the Python script should be able to be used as a Python module in order to be able to update {{etc/test_lifecycle.yml}} as part of SERVER-28786.    Additionally, the Python script should attempt to read the Evergreen API credentials from {{~/.evergreen.yml}} if the file is present.    *Note*: Since the script needs to compute the ratio of {{(fail + timeout) / (fail + timeout + pass)}}, a large number of API requests may need to be made to get the entire test execution history of a 4 week period. We'll need to consider a different approach or possible optimizations of only examining tests that have failed at least once before retrieving the entire test execution history."""""""
SERVER-26166,Improvement,7,+3:distributed; +2:migration,KEEP,,"""CommitChunkMigration command should commit chunk even if it's been split.""","""""""Since a migration can potentially run without a distributed lock if the balancer restarts and abandons its active migration, there's a possibility -- though slim -- that a split occurs on the chunk that is moving and then the migration tries to commit.     If the balancer holds the distlock again, and the collection version epoch still matches, the commit command then looks for the chunk in the config.chunks collection.     It currently looks for an exact match, but this could be changed to allow for splitting."""""""
SERVER-24353,Improvement,7,+3:distributed; +2:refactor,KEEP,,"""distributed_correctness.yml: Remove 3-node replset variant as it is redundant""","""""""After discussion, it was decided to simply remove the 3-node replset variant, as it is redundant. The other changes are too complicated to be worth it.    ----  *Old description*    We've recently discovered that the Evergreen Distributed Correctness tests don't actually use a lot of the DSI facitilities, even though it does check out DSI repo and the Evergreen yaml file is based on the system_perf.yml file. In particular, the tests are running their own replica set on localhost, so none of the EC2 resources that DSI deploys are used for anything.    As we refactor a lot of DSI code currently, it would make it much easier if we remove the things not actually used by anyone from distributed_correctness.yml. Otherwise we spend days maintaining and trouble shooting what is actually dead code.    * linux-3-node-replSet variant  * """"""""prepare environment"""""""", """"""""bring up cluster"""""""", """"""""restore cluster"""""""" , """"""""destroy cluster"""""""" and """"""""configure mongodb cluster"""""""" can be completely removed  * Items in """"""""run test"""""""", e.g. the <USER>sh / update_run_config.sh parts of run-distributed_correctness_suite_1.sh will not work after above removals, so will need to be slightly edited.    Current assumption is that the """"""""analyze"""""""", """"""""upload log file"""""""" and """"""""make test log artefact"""""""" parts are needed or might be needed in the future. They might need small edits around missing <USER>sh as well."""""""
SERVER-23387,Improvement,7,+3:distributed; +2:refactor,KEEP,,"""Refactor: Collapse dsi/clusters/*/*.sh scripts into dsi/bin/ (in Evergreen perf projects)""","""""""Small changes are needed to 3 {{mongo/etc/*.yml}} files to match the refactoring done mostly in Distributed System Infrastructure (dsi) repo."""""""
SERVER-20515,Improvement,7,+2:authentication; +2:authorization; +1:database,KEEP,,"""Administrator commands for authentication and authorization""","""""""There is a confusion in relation to the authentication/authorization administration commands. It isn't clear what users have permissions over specific databases.    For example, given the following list of users:        These users have a different behavior in relation to how the authentication is performed, but it is consistent in relation to what actions can be executed on the specific database.    For example, *User2* can authenticate against *admin* database but not against *test3*. However, this user can perform read/write operations on *test3*.            In the same way, *User3* can perform the same actions only over *test3* database. As you can see, this user cannot authenticate against the *admin* database.            Additionally, as you can see in the first list of users, you can also have the *same user twice* associated to different databases. They are two separate documents as they represent two independent users. *This could represent a huge challenge for the security administrator*.    The relevant point here is the actions you could perform on a specific database. So there are two relevant points:    - The database against which the user is authenticated.  - The database for which he has permissions.    The method {{db.getUsers()}} is adding confusion as it shows the users associated to this database which is only useful for authentication. However, it is not showing the users who have read/write/admin permissions on this database.    The authentication and authorization are different subjects. It doesn't really matter if your user needs to be authenticated against *admin* or *test3* database. Which is really important is what permissions on what database the user has (authorization). In order to avoid the administrative problems of having multiple users, we should recommend having a single user, with multiple permissions for different databases.    In relation to the explanation above, the security administrator should have two different commands (for example):    - {{db.getAuthenticatedUsers()}}: Shows the users who can authenticate against the current database. Perhaps, it could also show if the user has a current session.  - {{db.getAuthorizedUsers()}}: List of the users and the actions that can be performed on the current database. """""""
SERVER-20510,New Feature,7,+3:horizontal scaling; +1:database,KEEP,,"""Add stored procedure functionality""","""""""With $eval removed Mongo needs to have some equivalent to stored procedures or it will be unusable for many use cases. M/R and the aggregation pipelines are not alternatives as they are not designed for individual document operations but group and aggregation operations. A very common use for stored procedures is cases where changes need to be made to a document that are dependent on existing data in the collection, and it is not efficient to do that outside of the DB.    People against stored procedures typically do not want business logic separated across separate languages/locations, or dislike the additional complexity.  While this may be valid in their environments, it does not negate the fact that for many use cases pulling all of the data out of the database to the client and writing it back in again with minor changes is not feasible.  The additional complexity does not need to be used if their applications do not require it.    A very common use case is you need to modify every document in a collection based on some attribute of each document. An example: each document has a rank score or other numerical attr of some kind, and you want to normalize that score based on the max value in the collection. To use client side code, as you recommend in $eval removal docs; means first selecting the max, then pulling down every single document or specific <USER>of each in the collection, unmarshalling into native objects, reading the score and dividing by the max, and writing each result back. We have many collections with tens to hundreds of millions of documents and do many similar operations with them. To do this client side is a non-starter with the latency and bandwidth needed to ship data back and forth between the client code and server.    Running some basic tests with only ~100k documents this simple normalization operation is 10x-20x slower running client side with a co-located client than using $eval, not to mention all the additional bandwidth used for cases where client code cannot be co-located. This is in AWS with r3.8xlarge DB and SSD volumes. We re-wrote many of our applications to use $eval because of this very performance issue.    If Mongo wants to position itself as a scaleable database for analytics, it has to provide some mechanism for executing arbitrary functions with document level write support on the data within the server, and ideally one that works with shards. It doesn't need to be JS and it doesn't have to be embedded in the storage engine, but even a streaming model like Hadoop where each node executes a script on its partition of the data just using stdin/stdout would be a start. Pulling all of the data out of the database over the network to update it with some minor changes is not a strategy to scale. One of the major wins of horizontal scaling is pushing the processing to the level the data lives and have that processing power scale with the storage."""""""
SERVER-20036,Improvement,7,+3:distributed; +2:migration,KEEP,,"""Add interruption points to operations that hold distributed locks for a long time""","""""""Operations in sharding that hold distributed locks for a long time without contacting the config server, such as chunk migration, need to periodically confirm that the config servers have not been converted from SCCC to CSRS or vice versa. Such upgrades and downgrades ensure that these operations will eventually fail, but if the node does not check during the operation, it may prevent other new operations from making progress, since it blocks the local node from switching out its catalog manager implementation."""""""
SERVER-16561,New Feature,7,+2:indexing; +1:api; +1:database,KEEP,,"""create graph database abilities on top of existing data""","""""""A great way to add some relational-ness to the database and give it more powerful features using data already in the system would be to implement a method to define nodes and vertices of a graph through some definition or configuration of an existing collection or set of collections, much the way you'd define an index.    Currently many of us are using another or our own custom build graph databases to get around quickly solving relational shortfalls well identified in mongo. Maintaining the same data in two systems for this could easily be overcome and improve the lives of many.    In the same way that you've improved your database by adding text indexing, collection / document locking, etc, it would be great to see this layer added on top for those of us with wildly complex relationships to create, but for whom a document database is still substantially better than a traditional relational SQL database.    There are others in the document db space doing this, but your document and api implementation are vastly superior. It would be great to see you give some method for self-defined n-tiered relationships through a graph style while keeping the query language as simple as possible."""""""
